aggregation_rule,target_col,horizon,aligned_dates,eligible_rows_before_rule_in_eval_window,dates_with_multiple_eligible_rows_before_rule,max_eligible_rows_per_date_before_rule,mean_eligible_rows_per_selected_date,selected_split_counts,selected_fold_counts,all_selected_dates_test_only,note
latest,TAIEX_regime_fixed_20d,20,319,663,235,3,2.0783699059561127,"{""test"": 319}","{""WF1"": 86, ""WF2"": 63, ""WF3"": 170}",True,"For latest/earliest rules, selected rows have one source row per date."
latest,TAIEX_regime_fixed_60d,60,319,583,195,3,1.8275862068965518,"{""test"": 319}","{""WF1"": 126, ""WF2"": 63, ""WF3"": 130}",True,"For latest/earliest rules, selected rows have one source row per date."
earliest,TAIEX_regime_fixed_20d,20,319,663,235,3,2.0783699059561127,"{""test"": 190, ""validation"": 129}","{""WF2"": 192, ""WF3"": 127}",False,"For latest/earliest rules, selected rows have one source row per date."
earliest,TAIEX_regime_fixed_60d,60,319,583,195,3,1.8275862068965518,"{""test"": 190, ""validation"": 129}","{""WF2"": 192, ""WF3"": 127}",False,"For latest/earliest rules, selected rows have one source row per date."
average,TAIEX_regime_fixed_20d,20,319,663,235,3,2.0783699059561127,"{""average"": 319}","{""average"": 319}",False,"For average rule, selected_split_counts refers to averaged rows and detailed source mix is in source_summary."
average,TAIEX_regime_fixed_60d,60,319,583,195,3,1.8275862068965518,"{""average"": 319}","{""average"": 319}",False,"For average rule, selected_split_counts refers to averaged rows and detailed source mix is in source_summary."
