section,item,finding,evidence
Oracle positive control,kappa=0.0,Ordered oracle does not outperform shuffled on Sharpe,Ordered-minus-shuffled Sharpe=0.0000; TR diff=0.0000; MDD diff=0.0000; cash-cap diff=0.0000.
Oracle positive control,kappa=0.1,Ordered oracle outperforms shuffled on Sharpe,Ordered-minus-shuffled Sharpe=0.0005; TR diff=0.0002; MDD diff=0.0000; cash-cap diff=0.0000.
Oracle positive control,kappa=0.25,Ordered oracle outperforms shuffled on Sharpe,Ordered-minus-shuffled Sharpe=0.0017; TR diff=0.0005; MDD diff=0.0000; cash-cap diff=0.0006.
Oracle positive control,kappa=0.5,Ordered oracle outperforms shuffled on Sharpe,Ordered-minus-shuffled Sharpe=0.0040; TR diff=0.0013; MDD diff=0.0000; cash-cap diff=0.0050.
Oracle positive control,kappa=0.75,Ordered oracle outperforms shuffled on Sharpe,Ordered-minus-shuffled Sharpe=0.0107; TR diff=0.0032; MDD diff=0.0000; cash-cap diff=0.0075.
Oracle positive control,kappa=1.0,Ordered oracle outperforms shuffled on Sharpe,Ordered-minus-shuffled Sharpe=0.0151; TR diff=0.0048; MDD diff=0.0001; cash-cap diff=0.0520.
Oracle positive control,kappa trend,Signal-strength trend diagnostic,Correlation between kappa and ordered-oracle Sharpe=0.9300; correlation between kappa and average cash=-0.9254.
