Date,Adj Close_^TWII,Close_^TWII,High_^TWII,Low_^TWII,Open_^TWII,Volume_^TWII
2021-01-04,14902.0302734375,14902.0302734375,14937.1298828125,14720.25,14720.25,6487600
2021-01-05,15000.0302734375,15000.0302734375,15000.0302734375,14861.990234375,14913.6396484375,6302200
2021-01-06,14983.1298828125,14983.1298828125,15197.6796875,14837.0,15145.849609375,7787000
2021-01-07,15214.0,15214.0,15270.400390625,15049.8603515625,15059.51953125,5878900
2021-01-08,15463.9501953125,15463.9501953125,15463.9501953125,15275.3798828125,15365.1298828125,6192800
2021-01-11,15557.2998046875,15557.2998046875,15557.2998046875,15395.73046875,15425.580078125,5319100
2021-01-12,15500.7001953125,15500.7001953125,15642.0302734375,15421.23046875,15549.5302734375,6399400
2021-01-13,15769.98046875,15769.98046875,15778.51953125,15550.16015625,15550.16015625,5900400
2021-01-14,15707.1904296875,15707.1904296875,15760.150390625,15620.9599609375,15651.2001953125,5571500
2021-01-15,15616.3896484375,15616.3896484375,16041.58984375,15615.1103515625,15987.16015625,6418300
2021-01-18,15612.0,15612.0,15676.4501953125,15320.9697265625,15676.4501953125,5431000
2021-01-19,15877.3701171875,15877.3701171875,15928.1396484375,15716.6396484375,15716.6396484375,5516500
2021-01-20,15806.1796875,15806.1796875,16004.3203125,15745.48046875,15934.849609375,7303000
2021-01-21,16153.76953125,16153.76953125,16238.4599609375,15775.73046875,15775.73046875,5268500
2021-01-22,16019.0302734375,16019.0302734375,16138.0400390625,15973.01953125,15984.8896484375,5023800
2021-01-25,15946.5400390625,15946.5400390625,16014.9599609375,15772.6298828125,16006.2099609375,4667900
2021-01-26,15658.849609375,15658.849609375,16023.8701171875,15589.2099609375,15955.16015625,4526600
2021-01-27,15701.4501953125,15701.4501953125,15837.4697265625,15642.1201171875,15711.759765625,4293000
2021-01-28,15415.8798828125,15415.8798828125,15557.01953125,15367.4501953125,15519.849609375,5142300
2021-01-29,15138.3095703125,15138.3095703125,15603.41015625,15138.3095703125,15544.3603515625,5546700
2021-02-01,15410.08984375,15410.08984375,15429.98046875,15089.9599609375,15176.5595703125,4413200
2021-02-02,15760.0498046875,15760.0498046875,15838.150390625,15546.6904296875,15546.6904296875,4965800
2021-02-03,15771.3203125,15771.3203125,15896.400390625,15741.16015625,15828.6396484375,5015900
2021-02-04,15706.2197265625,15706.2197265625,15801.3701171875,15606.740234375,15697.75,4217800
2021-02-05,15802.400390625,15802.400390625,15938.08984375,15774.33984375,15805.759765625,4311100
2021-02-17,16362.2900390625,16362.2900390625,16406.779296875,16197.4501953125,16197.4501953125,5847800
2021-02-18,16424.509765625,16424.509765625,16517.73046875,16323.2197265625,16366.23046875,5808600
2021-02-19,16341.3798828125,16341.3798828125,16382.7001953125,16211.25,16376.91015625,5567600
2021-02-22,16410.16015625,16410.16015625,16579.169921875,16410.16015625,16445.869140625,6377000
2021-02-23,16443.400390625,16443.400390625,16467.75,16211.75,16320.8798828125,6508000
2021-02-24,16212.5302734375,16212.5302734375,16456.939453125,16212.5302734375,16329.5400390625,6503200
2021-02-25,16452.1796875,16452.1796875,16474.05078125,16322.26953125,16376.7998046875,6958100
2021-02-26,15953.7998046875,15953.7998046875,16190.0400390625,15953.7998046875,16190.0400390625,7625000
2021-03-02,15946.8798828125,15946.8798828125,16262.91015625,15946.8798828125,16127.8701171875,6314300
2021-03-03,16211.73046875,16211.73046875,16211.73046875,15884.5498046875,15992.3203125,5473300
2021-03-04,15906.41015625,15906.41015625,16091.75,15840.990234375,16091.75,5822900
2021-03-05,15855.23046875,15855.23046875,15934.4296875,15636.4296875,15759.580078125,4705600
2021-03-08,15820.1103515625,15820.1103515625,16074.9697265625,15816.5,15943.3701171875,4746800
2021-03-09,15853.08984375,15853.08984375,15864.259765625,15657.919921875,15715.0703125,5441900
2021-03-10,15911.669921875,15911.669921875,15986.0703125,15857.3203125,15921.4501953125,4340600
2021-03-11,16179.5595703125,16179.5595703125,16216.2197265625,15947.2099609375,15947.2099609375,5113400
2021-03-12,16255.1796875,16255.1796875,16298.0302734375,16166.349609375,16241.5498046875,4907000
2021-03-15,16249.330078125,16249.330078125,16281.91015625,16194.91015625,16256.580078125,4681700
2021-03-16,16313.16015625,16313.16015625,16340.66015625,16244.990234375,16253.9296875,5049000
2021-03-17,16215.8203125,16215.8203125,16349.2099609375,16166.349609375,16312.98046875,4911400
2021-03-18,16287.83984375,16287.83984375,16410.01953125,16264.6103515625,16264.6103515625,5694800
2021-03-19,16070.240234375,16070.240234375,16186.4599609375,16022.169921875,16186.4599609375,6753400
2021-03-22,16189.2197265625,16189.2197265625,16235.6298828125,15983.76953125,16065.5,7093200
2021-03-23,16177.58984375,16177.58984375,16351.3798828125,16166.2900390625,16250.2001953125,7291400
2021-03-24,16032.1201171875,16032.1201171875,16125.5400390625,15967.9501953125,15994.9599609375,5549900
2021-03-25,16060.1396484375,16060.1396484375,16146.580078125,15944.9599609375,16010.5400390625,5947800
2021-03-26,16305.8798828125,16305.8798828125,16325.6201171875,16140.3701171875,16140.3701171875,5404200
2021-03-29,16475.970703125,16475.970703125,16520.890625,16411.669921875,16411.669921875,6897800
2021-03-30,16554.900390625,16554.900390625,16556.189453125,16438.400390625,16490.310546875,5851100
2021-03-31,16431.130859375,16431.130859375,16550.19921875,16427.19921875,16529.23046875,5865500
2021-04-01,16571.279296875,16571.279296875,16602.470703125,16496.16015625,16538.279296875,5687600
2021-04-07,16815.359375,16815.359375,16816.33984375,16715.3203125,16771.349609375,6682200
2021-04-08,16926.439453125,16926.439453125,16926.720703125,16735.779296875,16786.560546875,7382600
2021-04-09,16854.099609375,16854.099609375,17016.130859375,16815.58984375,16974.279296875,8624700
2021-04-12,16859.69921875,16859.69921875,16979.349609375,16793.5390625,16908.55078125,9009000
2021-04-13,16824.91015625,16824.91015625,17041.369140625,16802.220703125,16872.400390625,10350300
2021-04-14,16865.970703125,16865.970703125,16935.390625,16559.5703125,16869.779296875,10140000
2021-04-15,17076.73046875,17076.73046875,17076.73046875,16851.060546875,16851.060546875,7006700
