Date,Adj Close_SOXX,Close_SOXX,High_SOXX,Low_SOXX,Open_SOXX,Volume_SOXX
2021-01-04,120.58525848388672,125.86333465576172,129.92666625976562,124.95333099365234,127.21333312988281,2487600
2021-01-05,123.05065155029297,128.43666076660156,128.43666076660156,125.66666412353516,125.76333618164062,1670700
2021-01-06,122.65147399902344,128.02000427246094,130.5366668701172,126.8566665649414,127.03333282470703,3215100
2021-01-07,127.2789306640625,132.85000610351562,133.17666625976562,129.89332580566406,129.89332580566406,1809000
2021-01-08,127.34600067138672,132.9199981689453,135.3699951171875,131.36000061035156,134.75332641601562,2119800
2021-01-11,128.6361541748047,134.26666259765625,135.3300018310547,131.6666717529297,131.76666259765625,1627500
2021-01-12,129.41542053222656,135.0800018310547,136.3866729736328,133.90333557128906,135.1300048828125,4503900
2021-01-13,129.62620544433594,135.3000030517578,136.6266632080078,134.77000427246094,136.3300018310547,1200000
2021-01-14,132.37261962890625,138.1666717529297,139.75332641601562,136.97999572753906,136.97999572753906,1748400
2021-01-15,129.6804656982422,135.35667419433594,138.1666717529297,134.5800018310547,138.01333618164062,2403900
2021-01-19,134.12908935546875,140.0,140.0933380126953,137.25999450683594,137.5833282470703,2517000
2021-01-20,133.65005493164062,139.5,141.99667358398438,139.17333984375,141.52000427246094,1851000
2021-01-21,135.58218383789062,141.51666259765625,142.0833282470703,139.3733367919922,140.82333374023438,2540400
2021-01-22,133.2828369140625,139.11666870117188,140.97332763671875,139.0433349609375,140.36666870117188,1668300
2021-01-25,133.4744110107422,139.31666564941406,140.63999938964844,136.63333129882812,140.27999877929688,1683300
2021-01-26,131.3059844970703,137.05332946777344,139.39332580566406,137.0399932861328,139.39332580566406,1224900
2021-01-27,124.49093627929688,129.94000244140625,134.68333435058594,129.41000366210938,134.6666717529297,5391300
2021-01-28,127.22145080566406,132.7899932861328,134.69667053222656,131.51333618164062,132.55667114257812,3369900
2021-01-29,125.00189971923828,130.47332763671875,133.7133331298828,130.0399932861328,133.23666381835938,2761800
2021-02-01,129.9391326904297,135.6266632080078,136.0399932861328,132.2566680908203,132.69667053222656,1923300
2021-02-02,132.04684448242188,137.82666015625,138.0,135.96665954589844,137.88999938964844,2429400
2021-02-03,129.3643035888672,135.02667236328125,138.75,134.6666717529297,138.35333251953125,2767800
2021-02-04,130.424560546875,136.13333129882812,136.24000549316406,133.65333557128906,134.60000610351562,1832400
2021-02-05,129.53358459472656,135.20333862304688,137.14999389648438,135.0,137.14999389648438,1462800
2021-02-08,133.4201202392578,139.25999450683594,139.3633270263672,136.10667419433594,136.1133270263672,1947300
2021-02-09,133.02732849121094,138.85000610351562,139.8300018310547,138.07666015625,138.85667419433594,1383300
2021-02-10,133.2891845703125,139.1233367919922,140.72999572753906,137.336669921875,140.0,2220300
2021-02-11,137.90383911132812,143.94000244140625,144.0433349609375,140.27333068847656,140.27333068847656,2112600
2021-02-12,139.60922241210938,145.72000122070312,146.00332641601562,142.78334045410156,143.51666259765625,1925100
2021-02-16,140.31175231933594,146.45333862304688,147.99000549316406,145.82666015625,147.4566650390625,3152400
2021-02-17,137.90707397460938,143.94332885742188,145.73333740234375,141.97000122070312,145.19667053222656,2785200
2021-02-18,136.48912048339844,142.4633331298828,143.1233367919922,140.67999267578125,142.1566619873047,2247600
2021-02-19,139.77850341796875,145.89666748046875,146.76333618164062,144.32666015625,144.6233367919922,2254500
2021-02-22,134.71351623535156,140.61000061035156,145.01333618164062,140.11666870117188,144.0,2652000
2021-02-23,133.701171875,139.55332946777344,140.60667419433594,134.02667236328125,138.02667236328125,4029300
