kappa,ordered_policy,n_shuffle_replications,ordered_total_return,shuffled_mean_total_return,ordered_minus_shuffled_total_return,ordered_sharpe,shuffled_mean_sharpe,ordered_minus_shuffled_sharpe,ordered_sortino,shuffled_mean_sortino,ordered_minus_shuffled_sortino,ordered_max_drawdown,shuffled_mean_max_drawdown,ordered_minus_shuffled_max_drawdown,ordered_avg_cash,shuffled_mean_avg_cash,ordered_minus_shuffled_avg_cash,ordered_cash_cap_binding,shuffled_mean_cash_cap_binding,ordered_minus_shuffled_cash_cap_binding,ordered_weighted_brier,shuffled_mean_weighted_brier,ordered_minus_shuffled_weighted_brier
0.0,oracle_ordered_kappa_0_0,5,0.240944,0.240944,0.0,1.741839,1.741839,0.0,2.241516,2.241516,0.0,-0.116911,-0.116911,0.0,0.586488,0.586488,0.0,0.250784,0.250784,0.0,0.825278,0.825278,0.0
0.1,oracle_ordered_kappa_0_1,5,0.241035,0.240852,0.000183,1.742169,1.741625,0.000543,2.242079,2.241151,0.000929,-0.116909,-0.116911,2e-06,0.586412,0.586577,-0.000165,0.250784,0.250784,0.0,0.668475,0.777177,-0.108702
0.25,oracle_ordered_kappa_0_25,5,0.241457,0.240935,0.000522,1.743312,1.741584,0.001728,2.244028,2.241001,0.003027,-0.116908,-0.116913,5e-06,0.58604,0.586477,-0.000437,0.250784,0.250157,0.000627,0.464219,0.745347,-0.281129
0.5,oracle_ordered_kappa_0_5,5,0.244166,0.242915,0.001251,1.750726,1.746715,0.004011,2.256608,2.250023,0.006585,-0.116909,-0.116947,3.8e-05,0.583633,0.584619,-0.000986,0.241379,0.236364,0.005016,0.206319,0.758357,-0.552038
0.75,oracle_ordered_kappa_0_75,5,0.250664,0.24746,0.003204,1.768897,1.758182,0.010714,2.287379,2.269521,0.017858,-0.116913,-0.116957,4.4e-05,0.577857,0.580449,-0.002592,0.22884,0.221317,0.007524,0.05158,0.893649,-0.842069
1.0,oracle_ordered_kappa_1_0,5,0.262492,0.25773,0.004762,1.799444,1.784343,0.0151,2.33918,2.314042,0.025138,-0.11694,-0.117084,0.000144,0.567356,0.570903,-0.003548,0.216301,0.164263,0.052038,0.0,1.114984,-1.114984
