comparison,metric_label,block_length,observed_difference,ci95_lower,ci95_upper,result,bootstrap_replications,ci_type,strategy_name,comparator_name,metric,source_file
AURORA10-UAMV-B vs ROMA-P4,Sharpe,60,0.572061,0.033866,1.038673,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sortino,60,1.119903,0.164063,2.125896,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Max-drawdown improvement,60,0.124847,0.031543,0.179222,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Total return,5,-0.000232,-0.000567,4.5e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sharpe,5,-0.001104,-0.002914,0.000589,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sortino,5,-0.001803,-0.005412,0.000747,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Max-drawdown improvement,5,-8e-06,-0.000107,4.5e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Total return,10,-0.000232,-0.000554,3.5e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sharpe,10,-0.001104,-0.00294,0.000574,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sortino,10,-0.001803,-0.005211,0.000672,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
