lambda,calibration_avg_cash,dynamic_calibration_avg_cash,cash_match_abs_error,calibration_total_return,calibration_sharpe,calibration_sortino,calibration_max_drawdown
17.0,0.5999582869593066,0.5999999999999999,4.1713040693225345e-05,0.13298000332608018,1.6908606264758337,1.9019040305329207,-0.08860593927970706
16.0,0.5999189510133368,0.5999999999999999,8.104898666305704e-05,0.13299851407061758,1.6909439887433724,1.9020241174342922,-0.08860822313607797
15.0,0.5998750701130273,0.5999999999999999,0.0001249298869725468,0.13302161076527774,1.6910655719692795,1.9022021762312675,-0.08861050608667265
14.0,0.5997959836428046,0.5999999999999999,0.0002040163571952469,0.1330830320381724,1.6915159981806442,1.90286261302156,-0.0886128085118495
13.0,0.5996910215892042,0.5999999999999999,0.00030897841079569055,0.13313772779834254,1.691755917571702,1.9032838960986909,-0.0886384303920289
12.0,0.599516022239806,0.5999999999999999,0.0004839777601938211,0.1331984390764247,1.6917632793503332,1.9034838118938462,-0.08870478968958762
11.0,0.5992720655987623,0.5999999999999999,0.0007279344012375288,0.13326872241505816,1.6912273665850321,1.9026793780400353,-0.08882275930962635
10.0,0.5989709530867383,0.5999999999999999,0.0010290469132615554,0.1333389995006118,1.6900092473961872,1.9006261092366092,-0.08899599215460818
9.0,0.5986692306768251,0.5999999999999999,0.0013307693231747741,0.1334083659875176,1.6887776099572633,1.898557659260781,-0.0891696566880853
8.0,0.5982958482530807,0.5999999999999999,0.0017041517469191803,0.13350747214207836,1.687627005320227,1.8965613862741366,-0.08934367132793586
7.0,0.5978554593660035,0.5999999999999999,0.0021445406339963835,0.13363336542782212,1.6865377930915044,1.8946157593038901,-0.08951818847054949
6.0,0.5973146416515605,0.5999999999999999,0.002685358348439415,0.13378140998594423,1.6854477538106853,1.8928341104441782,-0.0896935049684513
5.0,0.5965579318516058,0.5999999999999999,0.003442068148394095,0.13394921706921648,1.6841755267404452,1.8911462825100198,-0.08986952377232615
4.0,0.5957261748411729,0.5999999999999999,0.004273825158827016,0.13409147978571578,1.6824844819911935,1.8890877191998297,-0.09004610455619777
3.0,0.5948910545986944,0.5999999999999999,0.005108945401305465,0.13423396297642665,1.6807896173736105,1.8870254971257145,-0.09022311415769513
2.0,0.5940525441588848,0.5999999999999999,0.005947455841115112,0.13437621373397968,1.6790855970135752,1.8849541227180875,-0.09040054734744185
1.0,0.5932105730742872,0.5999999999999999,0.006789426925712716,0.13451567813927,1.6773416417069054,1.882841672998095,-0.09057840466014311
0.0,0.59236526218383,0.5999999999999999,0.0076347378161698565,0.13465283104598647,1.675563168893928,1.8806917367928935,-0.09075668686317839
