target_col,horizon,sample,selected_model,n_obs,date_start,date_end,macro_f1,balanced_accuracy,quadratic_weighted_kappa,ordinal_mae,ece_10bin,brier_score,mean_normalized_entropy,median_normalized_entropy,mean_bearish_probability,median_bearish_probability,mean_bullish_probability,mean_max_probability,mean_probability_margin,mean_ordinal_variance,s13_validation_macro_f1,s13_validation_balanced_accuracy,s13_validation_quadratic_weighted_kappa,s13_validation_ordinal_mae,s13_validation_ece_10bin
TAIEX_regime_fixed_20d,20,pooled_test_folds,E1_validation_weighted_probability_ensemble,359,2024-09-26,2026-03-25,0.2133,0.2417,-0.0157,0.7717,0.0879,0.6867,0.7845,0.7875,0.2103,0.2104,0.3815,0.4442,0.1406,0.8678,0.2122,0.2538,0.1647,0.7002,0.0891
TAIEX_regime_fixed_20d,20,strict_test_overlap,E1_validation_weighted_probability_ensemble,319,2024-11-27,2026-03-25,0.2057,0.2433,-0.0262,0.8098,0.1083,0.697,0.7771,0.7797,0.2016,0.1984,0.3868,0.4497,0.1432,0.8523,0.2122,0.2538,0.1647,0.7002,0.0891
TAIEX_regime_fixed_60d,60,pooled_test_folds,E1_validation_weighted_probability_ensemble,319,2024-11-27,2026-03-25,0.0561,0.0786,-0.0936,1.4613,0.2931,0.8836,0.8505,0.8508,0.1769,0.1497,0.5233,0.3962,0.1191,1.1033,0.1564,0.2449,0.1214,1.2584,0.206
TAIEX_regime_fixed_60d,60,strict_test_overlap,E1_validation_weighted_probability_ensemble,319,2024-11-27,2026-03-25,0.0561,0.0786,-0.0936,1.4613,0.2931,0.8836,0.8505,0.8508,0.1769,0.1497,0.5233,0.3962,0.1191,1.1033,0.1564,0.2449,0.1214,1.2584,0.206
