grid_family,lambda_value,avg_cash_weight,cash_match_error_abs,pct_days_at_cash_cap,total_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
constant_lambda_no_probability,34.0,0.5564996267553532,1.6646467056347092e-05,0.8746081504702194,0.24249176254124882,1.6998215116502162,2.2438533665389273,-0.11894488873249975,1.5730345861677
constant_lambda_no_probability,36.0,0.5578329914289339,0.0013167182065243477,0.8746081504702194,0.24104783263658636,1.6955953742138625,2.2353932985389124,-0.11883678160036526,1.5652938154819425
constant_lambda_no_probability,32.0,0.5551163305300161,0.0013999426923935188,0.8746081504702194,0.2439996674814675,1.704074400766915,2.252353636181038,-0.11905853099903196,1.5810910325523175
constant_lambda_no_probability,38.0,0.5591187455644856,0.002602472342076001,0.8746081504702194,0.23975997474946031,1.6918992907670984,2.227617819709744,-0.11873642643392956,1.5584275685161093
constant_lambda_no_probability,30.0,0.5536806598679328,0.002835613354476796,0.8746081504702194,0.24557528366108916,1.7083431296191258,2.260867111199266,-0.11917799927613326,1.589480592732086
constant_lambda_no_probability,40.0,0.560359093460544,0.0038428202381344256,0.8746081504702194,0.23860735497364471,1.6886555674286872,2.220483360029717,-0.11864385216396844,1.5523070572106703
constant_lambda_no_probability,28.0,0.5521900424032481,0.004326230819161503,0.8746081504702194,0.2472221512273387,1.7126136402687706,2.2693607051831397,-0.11930355367187628,1.5982195933128673
constant_lambda_no_probability,42.0,0.5611418771219868,0.004625603899577224,0.9216300940438872,0.2378625779881871,1.6865604151824103,2.2157198223924515,-0.11858694053485419,1.5483084364034205
constant_lambda_no_probability,44.0,0.5615031758172643,0.004986902594854681,0.9216300940438872,0.23748101275235634,1.6855289937801972,2.213208170588287,-0.11855949137627353,1.546235863290777
constant_lambda_no_probability,46.0,0.5618618024582904,0.00534552923588083,0.9216300940438872,0.23710671530219907,1.6845125138451789,2.210740771817273,-0.11853264599118007,1.5442006269488375
constant_lambda_no_probability,48.0,0.5622177817427072,0.005701508520297605,0.9216300940438872,0.23672547624098184,1.6834263240229483,2.2082538094485495,-0.11850639716586475,1.5421123001338781
constant_lambda_no_probability,50.0,0.5625711389792564,0.006054865756846772,0.9216300940438872,0.23635091275004072,1.6823534321842766,2.2058070427304823,-0.11848077198963514,1.540057353800922
constant_lambda_no_probability,26.0,0.5504535278264223,0.006062745395987279,0.8150470219435737,0.24879120680535527,1.7155102263521889,2.27560360067017,-0.11954348619268618,1.604909080717826
constant_lambda_no_probability,52.0,0.5629218982345302,0.006405625012120608,0.9216300940438872,0.2359866764396723,1.6812749334515549,2.2017203546233968,-0.11845580015680046,1.5380587568846198
constant_lambda_no_probability,54.0,0.5632700837974174,0.00675381057500779,0.9216300940438872,0.23563356434387872,1.6802094792913558,2.1994351076245935,-0.1184315071747215,1.53612134478072
constant_lambda_no_probability,55.0,0.5634432189338591,0.006926945711449473,0.9216300940438872,0.23545916344624396,1.6796833912819191,2.198305867633271,-0.11841933529644932,1.5351663714283021
constant_lambda_no_probability,56.0,0.5636157196739779,0.0070994464515683475,0.9216300940438872,0.23528659283031583,1.6791626089724687,2.1971871678098776,-0.1184074384390984,1.534219286139597
constant_lambda_no_probability,58.0,0.5639588908308409,0.0074426176084313456,0.9216300940438872,0.23493083966960038,1.6780327646062303,2.194845598873882,-0.11838430387177146,1.53224817316547
constant_lambda_no_probability,60.0,0.5642996403443912,0.007783367121981577,0.9216300940438872,0.23453830040657486,1.6766346308732971,2.192171550828219,-0.11836247560488844,1.5300243761893746
constant_lambda_no_probability,24.0,0.5470954798293323,0.009420793393077331,0.8150470219435737,0.24915826273932162,1.7069620186579344,2.2629340092929375,-0.12069296870832458,1.5919167684272366
constant_lambda_no_probability,70.0,0.565966279076792,0.009450005854382382,0.9216300940438872,0.232904643755105,1.6713977758997125,2.181230651189728,-0.1182564962049869,1.5209534730834173
constant_lambda_no_probability,80.0,0.5675735355875382,0.011057262365128606,0.9216300940438872,0.23152089764881545,1.6672946581834818,2.1720383883008223,-0.1181618956290601,1.5133171002247552
constant_lambda_no_probability,22.0,0.5435393331892422,0.012976940033167406,0.8150470219435737,0.24948890319285688,1.697220285678568,2.2491335414679856,-0.12193360051293978,1.5777638385178692
constant_lambda_no_probability,20.0,0.5381925087874951,0.018323764434914458,0.7492163009404389,0.24657047710782143,1.663155493139645,2.198775559858424,-0.12552235582613624,1.5151228459275121
constant_lambda_no_probability,19.0,0.5349815787431983,0.021534694479211303,0.7492163009404389,0.24416910750603749,1.6391120023079464,2.163146805229489,-0.1280005592304938,1.471635967300187
constant_lambda_no_probability,18.0,0.5316520911188947,0.02486418210351493,0.6865203761755486,0.24164089800828403,1.6140152856644139,2.125530789179986,-0.13058329070799923,1.4279176412561274
