strategy_control,source,n_days,avg_cash,median_cash,fraction_days_at_cash_cap,fraction_days_at_0050_cap,fraction_days_at_006208_cap,fraction_days_at_00692_cap,fraction_days_at_00881_cap,fraction_days_at_any_etf_cap,avg_equity_exposure
Original dynamic AURORA,Notebook18 weights,319,0.556516,0.6,0.874608,0.0,0.0,0.0,0.0,0.0,0.443484
Ex post constant-lambda AURORA,Notebook18 weights,319,0.556498,0.6,0.874608,0.0,0.0,0.0,0.0,0.0,0.443502
Ex post no-probability constant-lambda AURORA,Notebook18 weights,319,0.5565,0.6,0.874608,0.0,0.0,0.0,0.0,0.0,0.4435
