strategy_control,universe_key,asset_universe,avg_cash_weight,median_cash_weight,pct_days_at_cash_cap,avg_equity_exposure,avg_0050_weight,avg_006208_weight,avg_TW50_SYN_weight,avg_00692_weight,avg_00881_weight,avg_max_risky_asset_weight,total_turnover,total_transaction_cost,median_cov_condition_number,p90_cov_condition_number
Reduced-universe: Full universe,FULL,"0050,006208,00692,00881",0.5565162732224096,0.6,0.8746081504702194,0.44348372677759035,0.08840843943944876,0.11709556759016264,,0.181458742922346,0.056520976825633,0.181458742922346,1.6479077606610286,0.0016479077606610284,38.01306649546062,38.67511171755855
Reduced-universe: Remove 0050,REMOVE_0050,"006208,00692,00881",0.5545005624571215,0.6,0.8746081504702194,0.4454994375428784,,0.15762638831688314,,0.2224600027760295,0.06541304644996579,0.2224600027760295,1.608641913962165,0.0016086419139621651,28.24600572669474,29.1959829693157
Reduced-universe: Remove 006208,REMOVE_006208,"0050,00692,00881",0.5554588558737532,0.6,0.8746081504702194,0.44454114412624673,0.1383185780067627,,,0.232281108427026,0.07394145769245808,0.232281108427026,1.6270386352317763,0.0016270386352317764,28.541271991243697,28.904224699324427
Reduced-universe: Synthetic Taiwan 50 sleeve,SYNTH_TW50,"TW50_SYN,00692,00881",0.5549768156265272,0.6,0.8746081504702194,0.4450231843734726,,,0.149464366080511,0.22657820546028687,0.0689806128326749,0.22657820546028687,1.6122536525870568,0.0016122536525870568,28.920328083907147,29.51434814724897
