benchmark_family,source_strategy,source_column_or_label,canonical_strategy,common_dates,common_start,common_end,source_total_return,canonical_total_return,total_return_difference_source_minus_canonical,source_sharpe,canonical_sharpe,sharpe_difference_source_minus_canonical,source_max_drawdown,canonical_max_drawdown,max_drawdown_difference_source_minus_canonical,daily_return_correlation,mean_abs_daily_difference,max_abs_daily_difference,exactly_identical_daily_series,interpretation
00881-only passive,ROMA-B6,ROMA_B6_00881_only,Canonical 00881-only,319,2024-11-27,2026-03-25,0.745921,0.749478,-0.003558,1.769284,1.775895,-0.006611,-0.300012,-0.300012,0.0,0.999978,6e-06,0.002,False,Source-aware passive series differs from canonical series; report canonical series for passive benchmark role and preserve source-specific series only for reproducibility.
00881-only passive,AURORA-B6,AURORA_B6_00881_only,Canonical 00881-only,319,2024-11-27,2026-03-25,0.7477,0.749478,-0.001779,1.772598,1.775895,-0.003296,-0.300012,-0.300012,0.0,0.999995,3e-06,0.001,False,Source-aware passive series differs from canonical series; report canonical series for passive benchmark role and preserve source-specific series only for reproducibility.
0050-only passive,ROMA-B3,ROMA_B3_0050_only,Canonical 0050-only,319,2024-11-27,2026-03-25,0.658899,0.662272,-0.003373,1.739468,1.746624,-0.007156,-0.27485,-0.27485,0.0,0.999974,6e-06,0.002,False,Source-aware passive series differs from canonical series; report canonical series for passive benchmark role and preserve source-specific series only for reproducibility.
0050-only passive,AURORA-B3,AURORA_B3_0050_only,Canonical 0050-only,319,2024-11-27,2026-03-25,0.660586,0.662272,-0.001687,1.743056,1.746624,-0.003567,-0.27485,-0.27485,0.0,0.999994,3e-06,0.001,False,Source-aware passive series differs from canonical series; report canonical series for passive benchmark role and preserve source-specific series only for reproducibility.
equal-weight four-ETF passive,ROMA-B1,ROMA_B12_ma_timing_equal_weight,Canonical equal-weight four-ETF,319,2024-11-27,2026-03-25,0.65224,0.661703,-0.009463,2.305255,1.734546,0.570709,-0.094307,-0.278439,0.184132,0.717815,0.003404,0.099922,False,Source-aware passive series differs from canonical series; report canonical series for passive benchmark role and preserve source-specific series only for reproducibility.
equal-weight four-ETF passive,AURORA-B1,AURORA_B12_ma_timing_equal_weight,Canonical equal-weight four-ETF,319,2024-11-27,2026-03-25,0.30154,0.661703,-0.360163,1.731903,1.734546,-0.002643,-0.147972,-0.278439,0.130468,0.999993,0.005446,0.049961,False,Source-aware passive series differs from canonical series; report canonical series for passive benchmark role and preserve source-specific series only for reproducibility.
