comparison,strategy_control,comparator_control,metric,observed_difference,ci95_lower,ci95_upper,result,bootstrap_replications,block_length,ci_type
AURORA cash cap 60% vs Static 44.35% equity / 55.65% cash,AURORA cash cap 60%,Static 44.35% equity / 55.65% cash,diff_sortino,0.041451,-0.560108,0.379643,Not significant,5000,20,percentile
AURORA cash cap 60% vs Static 44.35% equity / 55.65% cash,AURORA cash cap 60%,Static 44.35% equity / 55.65% cash,drawdown_improvement,0.015366,-0.00477,0.023873,Not significant,5000,20,percentile
AURORA cash cap 60% vs Volatility-targeted equal-weight baseline,AURORA cash cap 60%,Volatility-targeted equal-weight baseline,diff_total_return,-0.157882,-0.397219,0.004888,Not significant,5000,20,percentile
AURORA cash cap 60% vs Volatility-targeted equal-weight baseline,AURORA cash cap 60%,Volatility-targeted equal-weight baseline,diff_sharpe,-0.15822,-0.586058,0.284721,Not significant,5000,20,percentile
AURORA cash cap 60% vs Volatility-targeted equal-weight baseline,AURORA cash cap 60%,Volatility-targeted equal-weight baseline,diff_sortino,-0.177856,-1.33564,0.580211,Not significant,5000,20,percentile
AURORA cash cap 60% vs Volatility-targeted equal-weight baseline,AURORA cash cap 60%,Volatility-targeted equal-weight baseline,drawdown_improvement,0.05055,0.002636,0.066504,Significant positive,5000,20,percentile
AURORA cash cap 60% vs Drawdown-control equal-weight baseline,AURORA cash cap 60%,Drawdown-control equal-weight baseline,diff_total_return,-0.300459,-0.887882,0.044314,Not significant,5000,20,percentile
AURORA cash cap 60% vs Drawdown-control equal-weight baseline,AURORA cash cap 60%,Drawdown-control equal-weight baseline,diff_sharpe,-0.13303,-0.701535,0.516643,Not significant,5000,20,percentile
AURORA cash cap 60% vs Drawdown-control equal-weight baseline,AURORA cash cap 60%,Drawdown-control equal-weight baseline,diff_sortino,-0.253033,-1.391782,1.329769,Not significant,5000,20,percentile
AURORA cash cap 60% vs Drawdown-control equal-weight baseline,AURORA cash cap 60%,Drawdown-control equal-weight baseline,drawdown_improvement,0.080463,0.024605,0.127476,Significant positive,5000,20,percentile
