target_horizon,sample,n,model_macro_f1,model_balanced_accuracy,model_ordinal_mae,model_ece,model_brier,uniform_brier,class_prior_brier,brier_skill_vs_uniform,brier_skill_vs_class_prior,model_nll,uniform_nll,class_prior_nll,majority_class,majority_macro_f1,majority_balanced_accuracy,uniform_random_macro_f1_mean,uniform_random_macro_f1_p05,uniform_random_macro_f1_p95,class_prior_source,label_source,target_col
20d,pooled_test_folds,359,0.17045682306240645,0.20407619047619047,0.8495821727019499,0.09085264423471212,0.7070957637655504,0.8000000000000002,0.7317400253694525,0.11613029529306218,0.033678985362949554,1.3684897909468121,1.6094379124340998,1.4260403108635136,2,0.10330578512396693,0.2,0.1715355032232229,0.13974845410760817,0.2044567913417497,validation_split_labels,modeling_dataset:/content/drive/MyDrive/AURORA_TWETF/data/modeling/AURORA_TWETF_features_with_labels.csv,TAIEX_regime_fixed_20d
20d,strict_test_overlap,319,0.15860759493670887,0.20361312446418828,0.9153605015673981,0.13310981899217722,0.7247607110616118,0.8000000000000002,0.7658918110380818,0.09404911117298542,0.05370353799803829,1.4081650491183058,1.6094379124340998,1.4956089547067655,2,0.08878048780487804,0.2,0.17396687414203835,0.13874924429053714,0.20809439677461916,validation_split_labels,modeling_dataset:/content/drive/MyDrive/AURORA_TWETF/data/modeling/AURORA_TWETF_features_with_labels.csv,TAIEX_regime_fixed_20d
60d,pooled_test_folds,319,0.049223224173390284,0.0767099567099567,1.4796238244514106,0.307551567583668,0.9088980267910336,0.7999999999999999,0.7695592068654183,-0.1361225334887921,-0.18106315756155067,1.8404095801096907,1.6094379124340998,1.5241291143923936,2,0.025806451612903226,0.2,0.150461980094732,0.1186921705769876,0.1836613051369354,validation_split_labels,modeling_dataset:/content/drive/MyDrive/AURORA_TWETF/data/modeling/AURORA_TWETF_features_with_labels.csv,TAIEX_regime_fixed_60d
60d,strict_test_overlap,319,0.049223224173390284,0.0767099567099567,1.4796238244514106,0.307551567583668,0.9088980267910336,0.7999999999999999,0.7695592068654183,-0.1361225334887921,-0.18106315756155067,1.8404095801096907,1.6094379124340998,1.5241291143923936,2,0.025806451612903226,0.2,0.150461980094732,0.1186921705769876,0.1836613051369354,validation_split_labels,modeling_dataset:/content/drive/MyDrive/AURORA_TWETF/data/modeling/AURORA_TWETF_features_with_labels.csv,TAIEX_regime_fixed_60d
