aggregation_rule,n_days,total_return,sharpe,sortino,max_drawdown,avg_cash,cash_cap_binding_frequency,total_turnover
latest,319,0.241608,1.743361,2.244306,-0.116933,0.585846,0.244514,0.322207
earliest,319,0.242174,1.744687,2.246589,-0.116934,0.585308,0.244514,0.318978
average,319,0.241774,1.743761,2.244947,-0.116927,0.585686,0.244514,0.321128
