target_horizon,sample,n,model_macro_f1,model_balanced_accuracy,model_ordinal_mae,model_ece,model_brier,uniform_brier,class_prior_brier,brier_skill_vs_uniform,brier_skill_vs_class_prior,model_nll,uniform_nll,class_prior_nll,majority_class,majority_macro_f1,majority_balanced_accuracy,uniform_random_macro_f1_mean,uniform_random_macro_f1_p05,uniform_random_macro_f1_p95,class_prior_source,label_source,target_col
20d,pooled_test_folds,359,0.170457,0.204076,0.849582,0.090853,0.707096,0.8,0.73174,0.11613,0.033679,1.36849,1.609438,1.42604,2,0.103306,0.2,0.171536,0.139748,0.204457,validation_split_labels,modeling_dataset:/content/drive/MyDrive/AURORA_TWETF/data/modeling/AURORA_TWETF_features_with_labels.csv,TAIEX_regime_fixed_20d
20d,strict_test_overlap,319,0.158608,0.203613,0.915361,0.13311,0.724761,0.8,0.765892,0.094049,0.053704,1.408165,1.609438,1.495609,2,0.08878,0.2,0.173967,0.138749,0.208094,validation_split_labels,modeling_dataset:/content/drive/MyDrive/AURORA_TWETF/data/modeling/AURORA_TWETF_features_with_labels.csv,TAIEX_regime_fixed_20d
60d,pooled_test_folds,319,0.049223,0.07671,1.479624,0.307552,0.908898,0.8,0.769559,-0.136123,-0.181063,1.84041,1.609438,1.524129,2,0.025806,0.2,0.150462,0.118692,0.183661,validation_split_labels,modeling_dataset:/content/drive/MyDrive/AURORA_TWETF/data/modeling/AURORA_TWETF_features_with_labels.csv,TAIEX_regime_fixed_60d
60d,strict_test_overlap,319,0.049223,0.07671,1.479624,0.307552,0.908898,0.8,0.769559,-0.136123,-0.181063,1.84041,1.609438,1.524129,2,0.025806,0.2,0.150462,0.118692,0.183661,validation_split_labels,modeling_dataset:/content/drive/MyDrive/AURORA_TWETF/data/modeling/AURORA_TWETF_features_with_labels.csv,TAIEX_regime_fixed_60d
