benchmark_family,source_strategy,canonical_strategy,status,matched_or_blocked_column,allowed_exact_columns,reason
equal-weight four-ETF passive,ROMA-B1,Canonical equal-weight four-ETF,not_found,,ROMA_B1_equal_weight; ROMA_B1_equal_weight_etfs; ROMA_B1_equal_weight_four_etf; ROMA_B1_equal_weight_four_ETF; ROMA-B1; ROMA_B1,"No exact passive source-aware column was found, or the matched column was blocked because it appeared to be a timing/B12 column. The canonical passive series remains valid."
equal-weight four-ETF passive,AURORA-B1,Canonical equal-weight four-ETF,not_found,,AURORA_B1_equal_weight; AURORA_B1_equal_weight_etfs; AURORA_B1_equal_weight_four_etf; AURORA_B1_equal_weight_four_ETF; AURORA-B1; AURORA_B1,"No exact passive source-aware column was found, or the matched column was blocked because it appeared to be a timing/B12 column. The canonical passive series remains valid."
