benchmark_family,source_strategy,source_column,canonical_strategy,common_dates,common_start,common_end,source_total_return,canonical_total_return,total_return_difference_source_minus_canonical,source_sharpe,canonical_sharpe,sharpe_difference_source_minus_canonical,source_sortino,canonical_sortino,sortino_difference_source_minus_canonical,source_max_drawdown,canonical_max_drawdown,max_drawdown_difference_source_minus_canonical,daily_return_correlation,mean_abs_daily_difference,max_abs_daily_difference,exactly_identical_daily_series,interpretation
00881-only passive,ROMA-B6,ROMA_B6_00881_only,Canonical 00881-only,319,2024-11-27,2026-03-25,0.7459208147811114,0.7494783804974252,-0.0035575657163138263,1.769284096900394,1.7758947073983364,-0.006610610497942426,2.242955713563885,2.2514696741196603,-0.008513960555775135,-0.30001232850770365,-0.3000123285077043,6.661338147750939e-16,0.9999783427808528,6.269592476565978e-06,0.0019999999999999254,False,Valid passive reconciliation based on exact source-aware passive column matching. Canonical series should be used for main passive benchmark reporting; source-specific series are retained for reproducibility audit only.
00881-only passive,AURORA-B6,AURORA_B6_00881_only,Canonical 00881-only,319,2024-11-27,2026-03-25,0.7476995976392751,0.7494783804974252,-0.0017787828581501408,1.7725983012114193,1.7758947073983364,-0.003296406186917178,2.2472576614862976,2.2514696741196603,-0.004212012633362683,-0.30001232850770365,-0.3000123285077043,6.661338147750939e-16,0.9999945833924134,3.1347962383214606e-06,0.0009999999999999246,False,Valid passive reconciliation based on exact source-aware passive column matching. Canonical series should be used for main passive benchmark reporting; source-specific series are retained for reproducibility audit only.
0050-only passive,ROMA-B3,ROMA_B3_0050_only,Canonical 0050-only,319,2024-11-27,2026-03-25,0.6588989213467804,0.6622723301428548,-0.0033734087960743953,1.7394681796827516,1.7466238433456482,-0.007155663662896661,2.278449302551889,2.287916093854323,-0.009466791302433997,-0.27484990581143254,-0.2748499058114333,7.771561172376096e-16,0.9999743294017623,6.269592476553127e-06,0.001999999999999908,False,Valid passive reconciliation based on exact source-aware passive column matching. Canonical series should be used for main passive benchmark reporting; source-specific series are retained for reproducibility audit only.
0050-only passive,AURORA-B3,AURORA_B3_0050_only,Canonical 0050-only,319,2024-11-27,2026-03-25,0.660585625744823,0.6622723301428548,-0.0016867043980317575,1.7430564025760613,1.7466238433456482,-0.003567440769586927,2.283242016357438,2.287916093854323,-0.004674077496884976,-0.2748499058114323,-0.2748499058114333,9.992007221626409e-16,0.9999935794764164,3.1347962383086107e-06,0.0009999999999999072,False,Valid passive reconciliation based on exact source-aware passive column matching. Canonical series should be used for main passive benchmark reporting; source-specific series are retained for reproducibility audit only.
