strategy_control,avg_cash_weight,base_total_return_zero_cash,highest_cash_scenario_total_return,total_return_change_highest_minus_base,base_sharpe_zero_rf,highest_cash_scenario_sharpe_nonzero_rf,interpretation
AURORA10-UAMV-B source-aware,0.5559353693225971,12.269563843534677,13.83296149021823,1.563397646683553,2.2637695025591356,2.187810533012828,Higher cash yield benefits strategies with higher cash weights; nonzero RF reduces excess-return Sharpe.
Ex post constant-lambda AURORA,0.5564982742007926,0.24251566622566534,0.25995927235294713,0.017443606127281797,1.6999209896909568,1.6155914711692623,Higher cash yield benefits strategies with higher cash weights; nonzero RF reduces excess-return Sharpe.
Ex post no-probability constant-lambda AURORA,0.5564996267553532,0.24249176254124882,0.25993507686827666,0.017443314327027837,1.6998215116502162,1.615489792915868,Higher cash yield benefits strategies with higher cash weights; nonzero RF reduces excess-return Sharpe.
Original dynamic AURORA,0.5565162732224096,0.24228398498423598,0.25972491484377036,0.017440929859534382,1.698816564437738,1.6144738161492387,Higher cash yield benefits strategies with higher cash weights; nonzero RF reduces excess-return Sharpe.
ROMA-B12 source-aware,0.5559353693225971,54.5374306949862,61.07694455241906,6.539513857432858,2.308424052939805,2.2592389808867845,Higher cash yield benefits strategies with higher cash weights; nonzero RF reduces excess-return Sharpe.
ROMA-P4 source-aware,0.5559353693225971,28.10341514080173,31.531373479655585,3.4279583388538555,1.6909217046996863,1.6490440599786498,Higher cash yield benefits strategies with higher cash weights; nonzero RF reduces excess-return Sharpe.
