strategy_control,constant_lambda,total_return,sharpe_ratio,sortino_ratio,max_drawdown,avg_cash_weight,pct_days_at_cash_cap,avg_equity_exposure,cash_match_error_abs,total_turnover,total_transaction_cost
Original dynamic AURORA,,0.24228398498423598,1.698816564437738,2.242180945726774,-0.11895671772570882,0.5565162732224096,0.8746081504702194,0.44348372677759035,0.0,1.6479077606610286,0.0016479077606610284
Exposure-matched constant-lambda AURORA,34.0,0.24251566622566534,1.6999209896909568,2.243983677317831,-0.11894861443734772,0.5564982742007926,0.8746081504702194,0.44350172579920744,1.7999021617032263e-05,1.643960004398506,0.0016439600043985062
Exposure-matched constant-lambda no-probability AURORA,34.0,0.24249176254124882,1.6998215116502162,2.2438533665389273,-0.11894488873249975,0.5564996267553532,0.8746081504702194,0.44350037324464664,1.6646467056347092e-05,1.6440396601616647,0.0016440396601616644
Static exposure-matched cash baseline,,0.26459983491582206,1.7319026998276983,2.2365050510958833,-0.13214936623033025,0.5565162732224094,0.0,0.44348372677759057,2.220446049250313e-16,0.4434837267775904,0.0004434837267775904
