strategy_control,universe_key,universe_description,asset_universe,n_days,total_return,sharpe_ratio,sortino_ratio,max_drawdown,avg_cash_weight,pct_days_at_cash_cap,avg_equity_exposure,median_cov_condition_number,p90_cov_condition_number
Reduced-universe: Full universe,FULL,"Full universe: 0050, 006208, 00692, 00881","0050,006208,00692,00881",319,0.24228398498423598,1.698816564437738,2.242180945726774,-0.11895671772570882,0.5565162732224096,0.8746081504702194,0.44348372677759035,38.01306649546062,38.67511171755855
Reduced-universe: Remove 0050,REMOVE_0050,Reduced universe excluding 0050,"006208,00692,00881",319,0.24177404562535987,1.6959355133755647,2.2316806587308204,-0.11837463174790197,0.5545005624571215,0.8746081504702194,0.4454994375428784,28.24600572669474,29.1959829693157
Reduced-universe: Remove 006208,REMOVE_006208,Reduced universe excluding 006208,"0050,00692,00881",319,0.23953687642024613,1.6865946386190633,2.198920652712984,-0.11898939985711177,0.5554588558737532,0.8746081504702194,0.44454114412624673,28.541271991243697,28.904224699324427
Reduced-universe: Synthetic Taiwan 50 sleeve,SYNTH_TW50,"Synthetic Taiwan 50 sleeve: 0.5*0050 + 0.5*006208, plus 00692 and 00881","TW50_SYN,00692,00881",319,0.2407130025029145,1.6923333765971749,2.219330883090749,-0.11868297846236364,0.5549768156265272,0.8746081504702194,0.4450231843734726,28.920328083907147,29.51434814724897
