comparison,strategy_control,comparator_control,metric,observed_difference,ci95_lower,ci95_upper,result,bootstrap_replications,block_length,ci_type
AURORA cash cap 60% vs Static 50% equity / 50% cash,AURORA cash cap 60%,Static 50% equity / 50% cash,drawdown_improvement,0.031184117434238434,0.0009967875348335128,0.042842555506304704,Significant positive,5000,20,percentile
AURORA cash cap 60% vs Static 44.35% equity / 55.65% cash,AURORA cash cap 60%,Static 44.35% equity / 55.65% cash,diff_total_return,-0.02138210724063616,-0.07729956268370647,0.03243885770107245,Not significant,5000,20,percentile
AURORA cash cap 60% vs Static 44.35% equity / 55.65% cash,AURORA cash cap 60%,Static 44.35% equity / 55.65% cash,diff_sharpe,-0.021615882487697524,-0.30594647570968925,0.19404521323402657,Not significant,5000,20,percentile
AURORA cash cap 60% vs Static 44.35% equity / 55.65% cash,AURORA cash cap 60%,Static 44.35% equity / 55.65% cash,diff_sortino,0.04145120057983043,-0.5601084079593692,0.37964346488282036,Not significant,5000,20,percentile
AURORA cash cap 60% vs Static 44.35% equity / 55.65% cash,AURORA cash cap 60%,Static 44.35% equity / 55.65% cash,drawdown_improvement,0.015366381915067562,-0.004770306760994794,0.023872817010718396,Not significant,5000,20,percentile
AURORA cash cap 60% vs Volatility-targeted equal-weight baseline,AURORA cash cap 60%,Volatility-targeted equal-weight baseline,diff_total_return,-0.15788165673894583,-0.3972191907766139,0.004887823377367193,Not significant,5000,20,percentile
AURORA cash cap 60% vs Volatility-targeted equal-weight baseline,AURORA cash cap 60%,Volatility-targeted equal-weight baseline,diff_sharpe,-0.1582200844631132,-0.5860584155021904,0.2847206681764507,Not significant,5000,20,percentile
AURORA cash cap 60% vs Volatility-targeted equal-weight baseline,AURORA cash cap 60%,Volatility-targeted equal-weight baseline,diff_sortino,-0.17785610138828245,-1.3356403089481532,0.5802106462956987,Not significant,5000,20,percentile
AURORA cash cap 60% vs Volatility-targeted equal-weight baseline,AURORA cash cap 60%,Volatility-targeted equal-weight baseline,drawdown_improvement,0.05054958126264997,0.0026360224494071717,0.06650388841171993,Significant positive,5000,20,percentile
AURORA cash cap 60% vs Drawdown-control equal-weight baseline,AURORA cash cap 60%,Drawdown-control equal-weight baseline,diff_total_return,-0.30045912839640265,-0.8878815554755722,0.04431408912887985,Not significant,5000,20,percentile
AURORA cash cap 60% vs Drawdown-control equal-weight baseline,AURORA cash cap 60%,Drawdown-control equal-weight baseline,diff_sharpe,-0.13302980595499214,-0.7015352893297555,0.5166426268868783,Not significant,5000,20,percentile
AURORA cash cap 60% vs Drawdown-control equal-weight baseline,AURORA cash cap 60%,Drawdown-control equal-weight baseline,diff_sortino,-0.2530326326104331,-1.3917819393288557,1.3297685469386353,Not significant,5000,20,percentile
AURORA cash cap 60% vs Drawdown-control equal-weight baseline,AURORA cash cap 60%,Drawdown-control equal-weight baseline,drawdown_improvement,0.08046278401659623,0.024605001282487327,0.127475602478215,Significant positive,5000,20,percentile
