date,strategy_name,optimization_status,risk_aversion,expected_class,p_bearish,p_bullish,normalized_entropy,confidence_score,ordinal_variance,risk_aversion_mode,constant_lambda,asset_universe,estimated_portfolio_mu,estimated_portfolio_vol_daily,strategy_control,policy_name,analysis_group
2024-11-27,AURORA18_DYNAMIC_ORIGINAL,optimized,34.0335985767952,2.5580641042860512,0.1495143330705379,0.6019139033694837,0.8417324766153776,0.1582675233846223,0.9944538414211692,dynamic,,"0050,006208,00692,00881",0.00031781053275,0.0169593235811342,Original dynamic AURORA,AURORA18_DYNAMIC_ORIGINAL,constant_lambda_exposure_match
2024-11-27,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34,optimized,34.0,2.0,0.4,0.4,1.0000000000000002,-2.220446049250313e-16,2.0,constant_lambda,34.0,"0050,006208,00692,00881",0.0003166796556206,0.0169598359253545,Exposure-matched constant-lambda no-probability AURORA,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34_0,constant_lambda_exposure_match
2024-11-27,AURORA18_DYNAMIC_ORIGINAL,static_baseline,,2.5580641042860512,0.1495143330705379,0.6019139033694837,0.8417324766153776,0.1582675233846223,0.9944538414211692,dynamic,,"0050,006208,00692,00881",0.00031781053275,0.0169593235811342,Static exposure-matched cash baseline,AURORA18_STATIC_EXPOSURE_MATCHED_CASH,constant_lambda_exposure_match
2024-11-27,AURORA18_REDUCED_SYNTH_TW50,optimized,34.0335985767952,2.5580641042860512,0.1495143330705379,0.6019139033694837,0.8417324766153776,0.1582675233846223,0.9944538414211692,dynamic,,"TW50_SYN,00692,00881",0.0003196218726467,0.01693224019613,Reduced-universe: Synthetic Taiwan 50 sleeve,AURORA18_REDUCED_SYNTH_TW50,reduced_universe_sensitivity
2024-11-27,AURORA18_REDUCED_REMOVE_0050,optimized,34.0335985767952,2.5580641042860512,0.1495143330705379,0.6019139033694837,0.8417324766153776,0.1582675233846223,0.9944538414211692,dynamic,,"006208,00692,00881",0.0003150496217569,0.016758095491622,Reduced-universe: Remove 0050,AURORA18_REDUCED_REMOVE_0050,reduced_universe_sensitivity
2024-11-27,AURORA18_REDUCED_REMOVE_006208,optimized,34.0335985767952,2.5580641042860512,0.1495143330705379,0.6019139033694837,0.8417324766153776,0.1582675233846223,0.9944538414211692,dynamic,,"0050,00692,00881",0.0003240846537897,0.0171129799428921,Reduced-universe: Remove 006208,AURORA18_REDUCED_REMOVE_006208,reduced_universe_sensitivity
2024-11-27,AURORA18_REDUCED_FULL,optimized,34.0335985767952,2.5580641042860512,0.1495143330705379,0.6019139033694837,0.8417324766153776,0.1582675233846223,0.9944538414211692,dynamic,,"0050,006208,00692,00881",0.00031781053275,0.0169593235811342,Reduced-universe: Full universe,AURORA18_REDUCED_FULL,reduced_universe_sensitivity
2024-11-27,AURORA18_Exposure_matched_constant_lambda_AURORA_34,optimized,34.0,2.5580641042860512,0.1495143330705379,0.6019139033694837,0.8417324766153776,0.1582675233846223,0.9944538414211692,constant_lambda,34.0,"0050,006208,00692,00881",0.0003178205504303,0.0169598704849299,Exposure-matched constant-lambda AURORA,AURORA18_Exposure_matched_constant_lambda_AURORA_34_0,constant_lambda_exposure_match
2024-11-28,AURORA18_REDUCED_REMOVE_006208,optimized,34.18282774028284,2.599266037682788,0.1558088339820166,0.6347393300050678,0.8426660424257005,0.1573339575742994,1.0412772846055214,dynamic,,"0050,00692,00881",0.0001990247433485,0.0165929135295747,Reduced-universe: Remove 006208,AURORA18_REDUCED_REMOVE_006208,reduced_universe_sensitivity
2024-11-28,AURORA18_DYNAMIC_ORIGINAL,optimized,34.18282774028284,2.599266037682788,0.1558088339820166,0.6347393300050678,0.8426660424257005,0.1573339575742994,1.0412772846055214,dynamic,,"0050,006208,00692,00881",0.0002035781287209,0.0164135033876448,Original dynamic AURORA,AURORA18_DYNAMIC_ORIGINAL,constant_lambda_exposure_match
2024-11-28,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34,optimized,34.0,2.0,0.4,0.4,1.0000000000000002,-2.220446049250313e-16,2.0,constant_lambda,34.0,"0050,006208,00692,00881",0.0002024428256238,0.0164168418643876,Exposure-matched constant-lambda no-probability AURORA,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34_0,constant_lambda_exposure_match
