date,policy_name,0050,006208,00692,00881,cash,is_rebalance
2024-11-27,AURORA_fold_rule_latest,0.1,0.1,0.1,0.1,0.6,False
2024-11-28,AURORA_fold_rule_latest,0.09916926977685048,0.09939076639180097,0.09870972305149397,0.0989690864252587,0.6037611543545959,False
2024-11-29,AURORA_fold_rule_latest,0.09954377663678242,0.10074293680191167,0.10086331973215672,0.09884996682914923,0.6,True
2024-12-02,AURORA_fold_rule_latest,0.09971197632780462,0.10062417965405718,0.10102460209768045,0.09906969723680002,0.5995695446836576,False
2024-12-03,AURORA_fold_rule_latest,0.10113934888811528,0.10236616183908682,0.10208278423364821,0.10037665472292964,0.5940350503162202,False
2024-12-04,AURORA_fold_rule_latest,0.10210749075199081,0.10315569293856373,0.10264927858619255,0.10039122573546058,0.5916963119877924,False
2024-12-05,AURORA_fold_rule_latest,0.10237480540668197,0.10364012033270957,0.10302488514894084,0.10120538544134615,0.5897548036703214,False
2024-12-06,AURORA_fold_rule_latest,0.10278400139767958,0.10395489400878193,0.10320525290227055,0.10110774794298916,0.5889481037482789,False
2024-12-09,AURORA_fold_rule_latest,0.10250936384898936,0.10375440725127291,0.1032549114440975,0.10085642911779236,0.5896248883378479,False
2024-12-10,AURORA_fold_rule_latest,0.102612226068824,0.10381743706010178,0.10331857299376818,0.10078803814353464,0.5894637257337715,False
2024-12-11,AURORA_fold_rule_latest,0.10211309546859414,0.10359769994994986,0.10302615838415702,0.10044652432408022,0.5908165218732188,False
2024-12-12,AURORA_fold_rule_latest,0.10158388372051085,0.102865946795372,0.10242507813513953,0.10019067574647658,0.592934415602501,False
2024-12-13,AURORA_fold_rule_latest,0.10232638964658963,0.10356728285013089,0.10306542883576009,0.10065886716057959,0.5903820315069399,False
2024-12-16,AURORA_fold_rule_latest,0.10235816466242588,0.10379433120586108,0.1030412441133567,0.100694505230305,0.5901117547880514,False
2024-12-17,AURORA_fold_rule_latest,0.10273555646914635,0.1040263750783632,0.10336701127406198,0.0999998677959115,0.5898711893825169,False
2024-12-18,AURORA_fold_rule_latest,0.10305621438626528,0.10423235853454861,0.10330120752510072,0.10069997722422856,0.5887102423298569,False
2024-12-19,AURORA_fold_rule_latest,0.10302611550408035,0.10438440734783096,0.10333984892264803,0.10071132623252009,0.5885383019929207,False
2024-12-20,AURORA_fold_rule_latest,0.10205774166365492,0.10364807930663651,0.10277683003373832,0.1004135142161308,0.5911038347798395,False
2024-12-23,AURORA_fold_rule_latest,0.10147424856139772,0.10291496502179841,0.10219647826582955,0.10019734429664168,0.5932169638543326,False
2024-12-24,AURORA_fold_rule_latest,0.10305177293163394,0.10423980782498198,0.10324113355591434,0.10123010657043664,0.588237179117033,False
2024-12-25,AURORA_fold_rule_latest,0.103259857751299,0.10438768792017282,0.10341390291590935,0.10115247587192248,0.5877860755406964,False
2024-12-26,AURORA_fold_rule_latest,0.10342401653003869,0.1045559389482141,0.10358527128278151,0.1014946563391087,0.5869401168998571,False
2024-12-27,AURORA_fold_rule_latest,0.10333137831788396,0.10463229869335229,0.10361652334883072,0.10156174406006363,0.5868580555798695,False
2024-12-30,AURORA_fold_rule_latest,0.10355551951292438,0.10478924467024044,0.10375319838876156,0.10169299805647185,0.5862090393716017,False
2024-12-31,AURORA_fold_rule_latest,0.09951702598265146,0.10201698137650636,0.10132630354832853,0.0981842743675067,0.5989554147250069,True
2025-01-02,AURORA_fold_rule_latest,0.09870837228945616,0.10149163859424887,0.10108363661728241,0.09840632965271133,0.6003100228463013,False
2025-01-03,AURORA_fold_rule_latest,0.09833327019087562,0.10082967126164653,0.10038501940159117,0.09718413163953989,0.6032679075063467,False
2025-01-06,AURORA_fold_rule_latest,0.0990132390404842,0.10114058319787422,0.10097389765833278,0.09747621974305319,0.6013960603602555,False
2025-01-07,AURORA_fold_rule_latest,0.10097326390897184,0.103088655577787,0.10264424041756777,0.09865123943318241,0.594642600662491,False
2025-01-08,AURORA_fold_rule_latest,0.10163108293636178,0.1037144446642633,0.10308402485621096,0.09964220382065953,0.5919282437225045,False
2025-01-09,AURORA_fold_rule_latest,0.10062975879483546,0.10296984248431508,0.1023674695196465,0.09905865841711024,0.5949742707840928,False
2025-01-10,AURORA_fold_rule_latest,0.09997876344391536,0.1023339926862947,0.10167189936629858,0.09805974025239075,0.5979556042511006,False
2025-01-13,AURORA_fold_rule_latest,0.0999966622485241,0.10206779644093475,0.10158131315279446,0.09814129980129975,0.598212928356447,False
2025-01-14,AURORA_fold_rule_latest,0.09861949283994495,0.10094110435015367,0.1004055506463848,0.09609923608528294,0.6039346160782336,False
2025-01-15,AURORA_fold_rule_latest,0.09898396526202437,0.10109428198056908,0.10069950987217496,0.09677449059947489,0.6024477522857565,False
2025-01-16,AURORA_fold_rule_latest,0.09851181570906772,0.10094196005950186,0.10031525474146215,0.0960233886272234,0.6042075808627448,False
2025-01-17,AURORA_fold_rule_latest,0.09975255295070254,0.10199606965989053,0.10152766228232227,0.09710864542129372,0.5996150696857908,False
2025-01-20,AURORA_fold_rule_latest,0.1000693981295386,0.10226835941180192,0.10178293224009041,0.09727069633989441,0.5986086138786747,False
2025-01-21,AURORA_fold_rule_latest,0.10068119094644946,0.10296008462488367,0.10215334789623882,0.09801140123140337,0.5961939753010246,False
2025-01-22,AURORA_fold_rule_latest,0.09920467501375405,0.10229048508616702,0.10184818002644101,0.09665665987363797,0.6,True
2025-02-03,AURORA_fold_rule_latest,0.09999291431858177,0.10325409466787834,0.10267993433228038,0.09711688813153971,0.5969561685497198,False
2025-02-04,AURORA_fold_rule_latest,0.09740970396402163,0.1004165364613697,0.10032975354827302,0.09435626908494517,0.6074877369413906,False
2025-02-05,AURORA_fold_rule_latest,0.09784751305990101,0.10062392410147065,0.10063205637799,0.09429855528275476,0.6065979511778835,False
2025-02-06,AURORA_fold_rule_latest,0.0987480064647831,0.10170148668119408,0.1012862900878337,0.09526018835008122,0.6030040284161079,False
2025-02-07,AURORA_fold_rule_latest,0.0990030373693333,0.1019213774162428,0.1015792812913298,0.09553482115857755,0.6019614827645164,False
