strategy_control,calibration_source,selected_lambda,test_total_return,test_sharpe,test_sortino,test_max_drawdown,avg_cash,days_at_cash_cap,n_days
Notebook21 dynamic AURORA,pre-evaluation out-of-sample prediction dates,,0.236085,1.730581,2.233324,-0.119752,0.6,1.0,319
Notebook21 pre-eval constant-lambda 21,pre-evaluation out-of-sample prediction dates,21.0,0.236561,1.732702,2.236809,-0.119779,0.6,1.0,319
Notebook21 pre-eval no-probability constant-lambda 21,pre-evaluation out-of-sample prediction dates,21.0,0.236561,1.732702,2.236809,-0.119779,0.6,1.0,319
