n_days,start_date,end_date,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_return,daily_volatility,hit_rate,final_equity,policy_name,control_type,kappa,shuffle_id,probability_order,weighted_brier,avg_entropy,avg_bearish_probability,avg_dynamic_lambda,avg_cash,cash_cap_binding_frequency,avg_equity_exposure,total_turnover,rebalance_count,brier_20d,brier_60d,hard_accuracy_20d,hard_accuracy_60d,median_dynamic_lambda
319,2024-11-27,2026-03-25,0.24303369593336455,0.18751343133663312,0.10134272153965458,1.7470230606735677,2.2504797436929924,-0.11692995822141539,1.603638915029481,0.0007025717125444303,0.0063839913900094,0.5642633228840125,1.2430336959333645,constant_lambda_no_probability_lambda_34,constant_lambda_no_probability,,,none,,0.912322496890492,0.22629904559915165,37.33404333424534,0.5845402168541863,0.23824451410658307,0.41545978314581367,0.3130965820011512,17,,,,,
319,2024-11-27,2026-03-25,0.24094383486464732,0.1859359667223277,0.10085232229534945,1.741838629747972,2.241515750917867,-0.11691055462615929,1.5904121515537113,0.0006970971066421916,0.006353099141353081,0.5642633228840125,1.2409438348646473,oracle_ordered_kappa_0_0,ordered_oracle_probability,0.0,,ordered,0.825277557391944,0.912322496890492,0.22629904559915165,37.33404333424534,0.5864884324352,0.2507836990595611,0.41351156756480006,0.32579470118570786,17,0.7579492132544473,0.8541325620222999,0.2852664576802508,0.06583072100313479,37.33404333424533
319,2024-11-27,2026-03-25,0.24094383486464732,0.1859359667223277,0.10085232229534945,1.741838629747972,2.241515750917867,-0.11691055462615929,1.5904121515537113,0.0006970971066421916,0.006353099141353081,0.5642633228840125,1.2409438348646473,oracle_shuffled_kappa_0_0_seed_0,shuffled_oracle_probability,0.0,0.0,shuffled,0.825277557391944,0.912322496890492,0.22629904559915165,37.33404333424534,0.5864884324352,0.2507836990595611,0.41351156756480006,0.32579470118570786,17,0.7579492132544473,0.8541325620222999,0.2852664576802508,0.06583072100313479,37.33404333424533
319,2024-11-27,2026-03-25,0.24094383486464732,0.1859359667223277,0.10085232229534945,1.741838629747972,2.241515750917867,-0.11691055462615929,1.5904121515537113,0.0006970971066421916,0.006353099141353081,0.5642633228840125,1.2409438348646473,oracle_shuffled_kappa_0_0_seed_1,shuffled_oracle_probability,0.0,1.0,shuffled,0.825277557391944,0.912322496890492,0.22629904559915165,37.33404333424534,0.5864884324352,0.2507836990595611,0.41351156756480006,0.32579470118570786,17,0.7579492132544473,0.8541325620222999,0.2852664576802508,0.06583072100313479,37.33404333424533
319,2024-11-27,2026-03-25,0.24094383486464732,0.1859359667223277,0.10085232229534945,1.741838629747972,2.241515750917867,-0.11691055462615929,1.5904121515537113,0.0006970971066421916,0.006353099141353081,0.5642633228840125,1.2409438348646473,oracle_shuffled_kappa_0_0_seed_2,shuffled_oracle_probability,0.0,2.0,shuffled,0.825277557391944,0.912322496890492,0.22629904559915165,37.33404333424534,0.5864884324352,0.2507836990595611,0.41351156756480006,0.32579470118570786,17,0.7579492132544473,0.8541325620222999,0.2852664576802508,0.06583072100313479,37.33404333424533
319,2024-11-27,2026-03-25,0.24094383486464732,0.1859359667223277,0.10085232229534945,1.741838629747972,2.241515750917867,-0.11691055462615929,1.5904121515537113,0.0006970971066421916,0.006353099141353081,0.5642633228840125,1.2409438348646473,oracle_shuffled_kappa_0_0_seed_3,shuffled_oracle_probability,0.0,3.0,shuffled,0.825277557391944,0.912322496890492,0.22629904559915165,37.33404333424534,0.5864884324352,0.2507836990595611,0.41351156756480006,0.32579470118570786,17,0.7579492132544473,0.8541325620222999,0.2852664576802508,0.06583072100313479,37.33404333424533
319,2024-11-27,2026-03-25,0.24094383486464732,0.1859359667223277,0.10085232229534945,1.741838629747972,2.241515750917867,-0.11691055462615929,1.5904121515537113,0.0006970971066421916,0.006353099141353081,0.5642633228840125,1.2409438348646473,oracle_shuffled_kappa_0_0_seed_4,shuffled_oracle_probability,0.0,4.0,shuffled,0.825277557391944,0.912322496890492,0.22629904559915165,37.33404333424534,0.5864884324352,0.2507836990595611,0.41351156756480006,0.32579470118570786,17,0.7579492132544473,0.8541325620222999,0.2852664576802508,0.06583072100313479,37.33404333424533
319,2024-11-27,2026-03-25,0.24103468105765624,0.18600455065212396,0.10086730598165788,1.7421685129579232,2.2420791447005035,-0.11690892132371677,1.591021014872627,0.0006973327161433997,0.006354043024869633,0.5642633228840125,1.2410346810576562,oracle_ordered_kappa_0_1,ordered_oracle_probability,0.1,,ordered,0.6684748214874745,0.9202757957585053,0.2208478244248164,37.423851382458956,0.5864120297965298,0.2507836990595611,0.4135879702034701,0.3256612372892329,17,0.6139388627361023,0.6918473752380627,0.2852664576802508,0.13479623824451412,37.09342157380796
319,2024-11-27,2026-03-25,0.24114664865773716,0.1860890786436773,0.10088137604061749,1.7426464443667629,2.2429471870339612,-0.116910984451979,1.5917159496686395,0.0006976213145238429,0.006354929355272945,0.5642633228840125,1.2411466486577372,oracle_shuffled_kappa_0_1_seed_0,shuffled_oracle_probability,0.1,0.0,shuffled,0.7767506835564402,0.9207191782197588,0.2208478244248164,37.4349359439903,0.5863382903486888,0.2507836990595611,0.41366170965131116,0.32516997860099056,17,0.7481081417329676,0.7890260586236427,0.2852664576802508,0.06896551724137931,37.09342157380796
319,2024-11-27,2026-03-25,0.24044933764241305,0.18556262974645477,0.10075541885442851,1.7402902327592213,2.238817738553691,-0.11691087324002325,1.5872144703383269,0.0006958082195631993,0.006346994798356338,0.5642633228840125,1.240449337642413,oracle_shuffled_kappa_0_1_seed_1,shuffled_oracle_probability,0.1,1.0,shuffled,0.773427799543901,0.9207348272688856,0.22084782442481637,37.43532717021847,0.586907920780487,0.2507836990595611,0.4130920792195129,0.327256414693046,17,0.7443463862470742,0.7858912623853982,0.2852664576802508,0.06896551724137931,37.09342157380796
