date,policy_name,mode,lambda_value,is_rebalance,turnover,transaction_cost,cash_weight,at_cash_cap,avg_equity_exposure,expected_class,normalized_entropy,p_bearish,solver_success,fallback_used,message,objective_value,equality_residual,max_bound_violation
2024-11-29,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.008745514055699122,8.745514055699123e-06,0.6,1.0,0.4,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0015835032203336532,0.0,0.0
2024-12-31,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.023486964320002343,2.3486964320002345e-05,0.5991046755640507,0.0,0.40089532443594944,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0014206375243849493,0.0,0.0
2025-01-22,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.008161529771120224,8.161529771120224e-06,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0013542056993648176,0.0,0.0
2025-02-27,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.007896986411153106,7.896986411153107e-06,0.6,1.0,0.4,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0006478944686457429,0.0,0.0
2025-03-31,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.03860604949750955,3.860604949750955e-05,0.6,1.0,0.4,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0008616182892454528,0.0,0.0
2025-04-30,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.030187424864598356,3.0187424864598355e-05,0.6,1.0,0.4,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.00228796017508173,0.0,0.0
2025-05-29,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.030195232136303707,3.0195232136303708e-05,0.6,1.0,0.4,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0021133224826067653,0.0,0.0
2025-06-30,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.02942032163544335,2.9420321635443352e-05,0.597645780945462,0.0,0.402354219054538,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0017905130964244688,0.0,0.0
2025-07-31,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.025822842739256127,2.5822842739256127e-05,0.5954840816992425,0.0,0.4045159183007576,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0014581265964226022,0.0,0.0
2025-08-29,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.02586845943142614,2.586845943142614e-05,0.5984116560884981,0.0,0.4015883439115019,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.001415082859935967,0.0,0.0
