aggregation_rule,n_dates,start_date,end_date,brier_20d,brier_60d,weighted_brier_30_70,hard_accuracy_20d,hard_accuracy_60d,avg_entropy,median_entropy,avg_bearish_probability,median_bearish_probability,avg_dynamic_lambda,median_dynamic_lambda
latest,319,2024-11-27,2026-03-25,0.7247607110616118,0.9088980267910336,0.853656832072207,0.30094043887147337,0.0877742946708464,0.8637159015324524,0.8679611992542772,0.19043223113049212,0.18376637753274203,35.40154216092115,35.24954026443436
earliest,319,2024-11-27,2026-03-25,0.7456977760788359,0.8534921423760415,0.8211538324868798,0.329153605015674,0.15673981191222572,0.8729386833679802,0.883255784942248,0.1891759773842583,0.1906184605231985,35.60698663188468,36.17121546007471
average,319,2024-11-27,2026-03-25,0.7287233599242154,0.8655575246145979,0.8245072752074831,0.335423197492163,0.10344827586206896,0.8793918356926839,0.8830905671745564,0.19204796780148717,0.18753679667400858,35.82575524834684,35.844270465867666
