date,aggregation_rule,p20_source_summary,p60_source_summary,p20_n_eligible,p60_n_eligible,p20_split,p60_split,p20_fold_id,p60_fold_id,p20_proba_class_0,p60_proba_class_0,blend_proba_class_0,p20_proba_class_1,p60_proba_class_1,blend_proba_class_1,p20_proba_class_2,p60_proba_class_2,blend_proba_class_2,p20_proba_class_3,p60_proba_class_3,blend_proba_class_3,p20_proba_class_4,p60_proba_class_4,blend_proba_class_4,blend_entropy,blend_bearish_probability,blend_lambda_dynamic
2024-11-27,latest,test:WF1,test:WF1,3,3,test,test,WF1,WF1,0.0684396384696339,0.0272086186350202,0.039577924585404316,0.18942259876900952,0.07587089836347252,0.10993640848513363,0.3224331484805356,0.216916884308311,0.24857176355997843,0.3764648717229541,0.49104569040012563,0.4566714447969742,0.04323974255786686,0.18895790829307063,0.14524245857250953,0.8417324766153776,0.14951433307053794,34.0335985767952
2024-11-28,latest,test:WF1,test:WF1,3,3,test,test,WF1,WF1,0.07918786809669745,0.025310504044095655,0.041473713259876185,0.19120929002503123,0.08138904816375862,0.11433512072214039,0.24134027486900037,0.19578536221745083,0.20945183601291567,0.39764517942212996,0.5051950303697378,0.47293007508545537,0.09061738758714113,0.19232005520495718,0.16180925491961237,0.8426660424257005,0.15580883398201656,34.18282774028284
2024-11-29,latest,test:WF1,test:WF1,3,3,test,test,WF1,WF1,0.08451686435187734,0.029806388610959186,0.046219531333234636,0.2058851187897301,0.07390181492721327,0.11349680608596834,0.24802028822976863,0.17967538506977182,0.20017885601777088,0.3995803731426593,0.48848851844194635,0.46181607485216025,0.06199735548596471,0.22812789295010935,0.17828873171086596,0.8545124066221458,0.15971633741920296,34.557136913937704
2024-12-02,latest,test:WF1,test:WF1,3,3,test,test,WF1,WF1,0.09613422883234572,0.03227039804686417,0.051429547282508634,0.20366353963733635,0.0705399503932876,0.11047702716650222,0.25632659583241807,0.2098307484768794,0.22377950268354097,0.37617724563859944,0.4902512868226886,0.4560290744674618,0.06769839005930045,0.19710761626028028,0.15828484839998633,0.857978227856162,0.16190657444901085,34.68758718538427
2024-12-03,latest,test:WF1,test:WF1,3,3,test,test,WF1,WF1,0.08837540123183334,0.032098430615614494,0.048981521800480154,0.20977305190490514,0.0787039306141478,0.11802466700137501,0.3302751830719999,0.2701392349465957,0.28818001938421695,0.3478186093462566,0.47712451147607743,0.43833274083713114,0.023757754445004955,0.14193389234756465,0.10648105097679675,0.8440913456551237,0.16700618880185517,34.4424074174152
2024-12-04,latest,test:WF1,test:WF1,3,3,test,test,WF1,WF1,0.08791024295498644,0.027283149281994865,0.045471277383892346,0.21436790744818612,0.08680808752527668,0.12507603350214955,0.3657400304110661,0.31092746251528214,0.32737123288401737,0.318789950304635,0.4589884201014652,0.41692887916241617,0.013191868881126239,0.11599288057598113,0.08515257706752467,0.8329708257864556,0.1705473108860419,34.23521686238223
2024-12-05,latest,test:WF1,test:WF1,3,3,test,test,WF1,WF1,0.09004769098156806,0.030206530219787437,0.048158878448321625,0.21093841079502176,0.09854363698440338,0.13226206912758892,0.3771541023912844,0.3643215944206058,0.36817134681180935,0.3044582372650002,0.4262407320939725,0.3897059836452808,0.017401558567125622,0.08068750628123084,0.06170172196699927,0.8205538455943003,0.18042094757591054,34.122265091375716
2024-12-06,latest,test:WF1,test:WF1,3,3,test,test,WF1,WF1,0.06946023804476593,0.02401566748814529,0.03764903865513148,0.242547992248756,0.08585619394885811,0.13286373343882746,0.35628663541925976,0.325532906970377,0.33475902550504183,0.31680805055939354,0.46656020371799145,0.42163455777041203,0.014897083727824868,0.0980350278746282,0.07309364463058719,0.8160181093994711,0.17051277209395893,33.81070817686596
2024-12-09,latest,test:WF1,test:WF1,3,3,test,test,WF1,WF1,0.05282735710735283,0.021789683902687405,0.031100985864087032,0.2748973000250902,0.08420599165061954,0.14141338416296073,0.3543225178348079,0.3207093985292282,0.3307933343209021,0.30025420810608544,0.4700005783413485,0.4190766672707696,0.017698616926663593,0.10329434757611632,0.0776156283812805,0.816030620787075,0.17251437002704775,33.85105292021783
2024-12-10,latest,test:WF1,test:WF1,3,3,test,test,WF1,WF1,0.04494474703687225,0.024547943135832948,0.03066698430614474,0.2619102728405484,0.08008785873682539,0.1346345829679423,0.3632016519956959,0.2796819192747769,0.3047378390910526,0.3063661760639973,0.4884798690135626,0.43384576112869305,0.023577152062886204,0.12720240983900205,0.09611483250616731,0.8241147260573358,0.16530156727408704,33.90889949691513
2024-12-11,latest,test:WF1,test:WF1,3,3,test,test,WF1,WF1,0.04387243554052183,0.023286994098913612,0.029462626531396075,0.24896465298041226,0.07800516140146724,0.12929300887515072,0.39455992014274177,0.23766991027810735,0.28473691323749767,0.29671879838499565,0.5073608758999202,0.4441682526454428,0.01588419295132856,0.15367705832159168,0.11233919871051273,0.8276709548006473,0.1587556354065468,33.86688657814712
