aggregation_rule,comparison,delta_weighted_brier_30_70,delta_brier_20d,delta_brier_60d,delta_avg_entropy,delta_avg_bearish_probability,delta_avg_dynamic_lambda,delta_total_return,delta_sharpe,delta_sortino,delta_max_drawdown,delta_avg_cash,delta_cash_cap_binding_frequency,delta_avg_equity_exposure,delta_total_turnover
latest,latest_minus_latest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earliest,earliest_minus_latest,-0.03250299958532721,0.020937065017224143,-0.05540588441499206,0.009222781835527827,-0.0012562537462338375,0.2054444709635277,0.0005665976117286142,0.0013256776241166168,0.002282914565013172,-6.621491052127837e-07,-0.000538342844443207,0.0,0.0005383428444432625,-0.003228886313748014
average,average_minus_latest,-0.02914955686472387,0.003962648862603668,-0.0433405021764357,0.015675934160231497,0.0016157366709950438,0.4242130874256844,0.00016661982243637574,0.0003994949374199752,0.0006414737432507422,5.929162276152589e-06,-0.00015999812240874434,0.0,0.00015999812240868883,-0.0010793224017073277
