date,policy_name,lambda_dynamic,is_rebalance,turnover,transaction_cost,cash_weight,at_cash_cap,avg_equity_exposure,expected_class,normalized_entropy,p_bearish,solver_success,fallback_used,message,objective_value,equality_residual,max_bound_violation,aggregation_rule
2024-11-29,AURORA_fold_rule_latest,34.557136913937704,True,0.008745514055699122,8.745514055699123e-06,0.6,1.0,0.4,2.6124576695214543,0.8545124066221458,0.15971633741920296,True,False,Optimization terminated successfully,-0.0016103255032757383,0.0,0.0,latest
2024-12-31,AURORA_fold_rule_latest,33.583722795812605,True,0.02318830643956754,2.318830643956754e-05,0.5989554147250069,0.0,0.40104458527499304,2.2784982176832447,0.7972740434983794,0.1825935854176559,True,False,Optimization terminated successfully,-0.001401220499781146,0.0,0.0,latest
2025-01-22,AURORA_fold_rule_latest,33.09898283063561,True,0.008460784871753724,8.460784871753724e-06,0.6,1.0,0.4000000000000001,2.3067545213803324,0.7933259323880599,0.16329172604670594,True,False,Optimization terminated successfully,-0.0013172985310782401,0.0,0.0,latest
2025-02-27,AURORA_fold_rule_latest,33.35787150399088,True,0.00789688708811108,7.89688708811108e-06,0.6,1.0,0.4,2.533319461491152,0.8198152207115714,0.14312454931007954,True,False,Optimization terminated successfully,-0.0006328649976183327,0.0,0.0,latest
2025-03-31,AURORA_fold_rule_latest,35.60951541919425,True,0.03860624396744372,3.860624396744372e-05,0.6,1.0,0.4000000000000001,2.63124143282096,0.887173485060846,0.1715089146336553,True,False,Optimization terminated successfully,-0.0008924243824625264,0.0,0.0,latest
2025-04-30,AURORA_fold_rule_latest,35.0483284958908,True,0.03018741723007122,3.018741723007122e-05,0.6,1.0,0.39999999999999997,2.369384216416244,0.8641378401182029,0.17224412464678635,True,False,Optimization terminated successfully,-0.002345872588450318,0.0,0.0,latest
2025-05-29,AURORA_fold_rule_latest,34.50809644626455,True,0.03019520448672401,3.0195204486724013e-05,0.6,1.0,0.40000000000000013,2.331253746357874,0.8470873519725747,0.1665456323475094,True,False,Optimization terminated successfully,-0.002141261608862334,0.0,0.0,latest
2025-06-30,AURORA_fold_rule_latest,36.126218941797376,True,0.031301270198154804,3.13012701981548e-05,0.5985863639094549,0.0,0.4014136360905452,2.5428667343164664,0.905353104935796,0.17461956592012345,True,False,Optimization terminated successfully,-0.0019129862221532706,0.0,0.0,latest
2025-07-31,AURORA_fold_rule_latest,35.08867516012692,True,0.026655900105725383,2.6655900105725382e-05,0.5968532056047637,0.0,0.4031467943952364,2.6340643239247776,0.8811564357008531,0.15298821338027957,True,False,Optimization terminated successfully,-0.0015089214702139915,0.0,0.0,latest
2025-08-29,AURORA_fold_rule_latest,38.698563862642374,True,0.026279150515504224,2.6279150515504225e-05,0.6,1.0,0.4000000000000001,2.236282630743999,0.9074363609889587,0.30063274189591993,True,False,Optimization terminated successfully,-0.0016615671456962052,0.0,0.0,latest
2025-09-30,AURORA_fold_rule_latest,35.41966698347242,True,0.02628425148428551,2.628425148428551e-05,0.5949401656491968,0.0,0.4050598343508032,2.338163289900973,0.8679611992542772,0.18603185010577455,True,False,Optimization terminated successfully,-0.0014856350928724902,0.0,0.0,latest
2025-10-31,AURORA_fold_rule_latest,35.76049358685039,True,0.005820751172649741,5.820751172649741e-06,0.5690920919073607,0.0,0.43090790809263946,2.2070195517535165,0.8655186574227491,0.20612635756408293,True,False,Optimization terminated successfully,-5.060422954019866e-05,0.0,0.0,latest
2025-11-28,AURORA_fold_rule_latest,35.86057093341119,True,0.008867678838682377,8.867678838682378e-06,0.5827160214112265,0.0,0.41728397858877364,2.4051279553409532,0.8778834691435712,0.19567421024109538,True,False,Optimization terminated successfully,-0.00034400000509030737,0.0,0.0,latest
2025-12-31,AURORA_fold_rule_latest,36.75523711906255,True,0.010866320920705858,1.0866320920705858e-05,0.5762266133286509,0.0,0.423773386671349,2.3384088226847717,0.8901802068771368,0.22503659735670628,True,False,Optimization terminated successfully,-0.0005911977894104008,1.1102230246251565e-16,0.0,latest
2026-01-30,AURORA_fold_rule_latest,35.80936714203615,True,0.01121873928087988,1.1218739280879881e-05,0.5486563091941723,0.0,0.45134369080582776,2.387896714126177,0.8834486623867929,0.18615752911831637,True,False,Optimization terminated successfully,-0.0005868226872415962,0.0,0.0,latest
2026-02-26,AURORA_fold_rule_latest,36.42425592428439,True,0.00957884134234585,9.578841342345851e-06,0.5302301765765585,0.0,0.4697698234234416,2.1686706707460783,0.8777537942868956,0.2240205533555999,True,False,Optimization terminated successfully,-0.0002657312683627091,0.0,0.0,latest
2026-03-25,AURORA_fold_rule_latest,36.91115665697671,True,0.01805373219935985,1.805373219935985e-05,0.558241896715807,0.0,0.441758103284193,2.628491608877134,0.8987973567946809,0.22206113685548437,True,False,Optimization terminated successfully,-0.0010153055467590827,0.0,0.0,latest
2024-11-29,AURORA_fold_rule_earliest,33.458971049413975,True,0.008745514055699122,8.745514055699123e-06,0.6,1.0,0.4,2.4831385991773267,0.8388856993923405,0.12434142823027333,True,False,Optimization terminated successfully,-0.0015565656867274488,0.0,0.0,earliest
2024-12-31,AURORA_fold_rule_earliest,33.55570855291281,True,0.02316861162691547,2.316861162691547e-05,0.5989454588317581,0.0,0.4010545411682419,2.2952741739532847,0.8186013561765754,0.15453373242492136,True,False,Optimization terminated successfully,-0.0013999623444689883,0.0,0.0,earliest
2025-01-22,AURORA_fold_rule_earliest,32.532862981880086,True,0.00848072464464883,8.48072464464883e-06,0.6,1.0,0.40000000000000013,2.377215433213559,0.8002988386209257,0.1262696008178472,True,False,Optimization terminated successfully,-0.0012940387865130567,0.0,0.0,earliest
2025-02-27,AURORA_fold_rule_earliest,37.50388769029907,True,0.007896796426599045,7.896796426599046e-06,0.6,1.0,0.4000000000000001,2.2293737621447365,0.8660894887826905,0.2925825235365902,True,False,Optimization terminated successfully,-0.0007281319537553316,0.0,0.0,earliest
2025-03-31,AURORA_fold_rule_earliest,37.24350493352074,True,0.038606244178845076,3.8606244178845074e-05,0.6,1.0,0.4,2.5184027436393484,0.9259130028805136,0.20478399307539494,True,False,Optimization terminated successfully,-0.0009240771655191478,0.0,0.0,earliest
