Date,0050,006208,00692,00881,TAIEX,SP500,NASDAQ,SOXX,USD_TWD,VIX,NIKKEI225,HANGSENG,KOSPI,US10Y
2021-01-01,,,,,,,,,28.078699111938477,,,,,
2021-01-04,26.40782928466797,61.111900329589844,24.28515625,11.058250427246094,14902.0302734375,3700.64990234375,12698.4501953125,120.58525848388672,28.054000854492188,26.969999313354492,27258.380859375,27472.810546875,2944.449951171875,0.9169999957084656
2021-01-05,26.460918426513672,61.33014678955078,24.29302215576172,11.171595573425293,15000.0302734375,3726.860107421875,12818.9599609375,123.05065155029297,28.10099983215332,25.34000015258789,27158.630859375,27649.859375,2990.570068359375,0.9549999833106995
2021-01-06,26.747615814208984,61.81032180786133,24.505428314208984,11.228267669677734,14983.1298828125,3748.139892578125,12740.7900390625,122.65147399902344,27.954999923706055,25.06999969482422,27055.939453125,27692.30078125,2968.2099609375,1.0420000553131104
2021-01-07,27.37409782409668,63.20717239379883,24.98531150817871,11.419537544250488,15214.0,3803.7900390625,13067.48046875,127.2789306640625,27.829999923706055,22.3700008392334,27490.130859375,27548.51953125,3031.679931640625,1.0709999799728394
2021-01-08,27.86254119873047,64.6913070678711,25.433725357055664,11.639144897460938,15463.9501953125,3824.679931640625,13201.98046875,127.34600067138672,27.926799774169922,21.559999465942383,28139.029296875,27878.220703125,3152.179931640625,1.1050000190734863
2021-01-11,28.096147537231445,64.90956115722656,25.567461013793945,12.205870628356934,15557.2998046875,3799.610107421875,13036.4296875,128.6361541748047,28.017000198364258,24.079999923706055,,27908.220703125,3148.449951171875,1.1319999694824219
2021-01-12,28.053672790527344,64.99686431884766,25.575328826904297,11.724151611328125,15500.7001953125,3801.18994140625,13072.4296875,129.41542053222656,28.020700454711914,23.329999923706055,28164.33984375,28276.75,3125.949951171875,1.1380000114440918
2021-01-13,28.733247756958008,66.35005950927734,26.047344207763672,11.979179382324219,15769.98046875,3809.840087890625,13128.9501953125,129.62620544433594,27.97800064086914,22.209999084472656,28456.58984375,28235.599609375,3148.2900390625,1.0880000591278076
2021-01-14,28.467784881591797,65.73893737792969,25.882137298583984,12.050020217895508,15707.1904296875,3795.5400390625,13112.6396484375,132.37261962890625,28.01799964904785,23.25,28698.259765625,28496.859375,3149.929931640625,1.128999948501587
2021-01-15,28.563352584838867,65.95720672607422,25.811336517333984,12.050020217895508,15616.3896484375,3768.25,12998.5,129.6804656982422,27.986900329589844,24.34000015258789,28519.1796875,28573.859375,3085.89990234375,1.097000002861023
2021-01-18,28.542116165161133,66.04450988769531,25.811336517333984,11.99334716796875,15612.0,,,,27.9822998046875,,28242.2109375,28862.76953125,3013.929931640625,
2021-01-19,29.296016693115234,67.65959167480469,26.393484115600586,12.31213092803955,15877.3701171875,3798.909912109375,13197.1796875,134.12908935546875,27.982200622558594,23.239999771118164,28633.4609375,29642.279296875,3092.659912109375,1.0920000076293945
2021-01-20,29.349111557006836,67.96515655517578,26.393484115600586,12.3192138671875,15806.1796875,3851.85009765625,13457.25,133.65005493164062,27.915000915527344,21.579999923706055,28523.259765625,29962.470703125,3114.550048828125,1.090000033378601
