date,policy_name,gross_return,transaction_cost,net_return,equity,drawdown
2024-11-27,AURORA_fold_rule_latest,-0.006229540154196345,0.0,-0.006229540154196345,0.9937704598458037,0.0
2024-11-28,AURORA_fold_rule_latest,-0.0010119626772413487,0.0,-0.0010119626772413487,0.9927648012306948,-0.0010119626772413515
2024-11-29,AURORA_fold_rule_latest,0.0007179405961478474,8.745514055699123e-06,0.0007091950820921482,0.9934688651454018,-0.00030348527410317683
2024-12-02,AURORA_fold_rule_latest,0.009316780827143885,0.0,0.009316780827143885,1.0027247968205528,0.0
2024-12-03,AURORA_fold_rule_latest,0.003952599130744638,0.0,0.003952599130744638,1.0066881659808418,0.0
2024-12-04,AURORA_fold_rule_latest,0.0032920602009308937,0.0,0.0032920602009308937,1.0100022440268155,0.0
2024-12-05,AURORA_fold_rule_latest,0.0013697300609484917,0.0,0.0013697300609484917,1.0113856744620846,0.0
2024-12-06,AURORA_fold_rule_latest,-0.001147822289993429,0.0,-0.001147822289993429,1.010224783441157,-0.0011478222899933277
2024-12-09,AURORA_fold_rule_latest,0.0002734054650704916,0.0,0.0002734054650704916,1.0105009844178996,-0.0008747306458097848
2024-12-10,AURORA_fold_rule_latest,-0.0022897060074728325,0.0,-0.0022897060074728325,1.0081872342433207,-0.0031624337772679922
2024-12-11,AURORA_fold_rule_latest,-0.0035718853106716645,0.0,-0.0035718853106716645,1.0045861050709204,-0.0067230232371846554
2024-12-12,AURORA_fold_rule_latest,0.004323275369757231,0.0,0.004323275369757231,1.0089292074357739,-0.0024288133481989993
2024-12-13,AURORA_fold_rule_latest,0.0004580093799106799,0.0,0.0004580093799106799,1.0093913064764453,-0.001971916387583872
2024-12-16,AURORA_fold_rule_latest,0.000407827013531974,0.0,0.000407827013531974,1.0098029635184507,-0.0015648935748231452
2024-12-17,AURORA_fold_rule_latest,0.0019720177587968773,0.0,0.0019720177587968773,1.0117943128953948,0.0
2024-12-18,AURORA_fold_rule_latest,0.0002921480834025974,0.0,0.0002921480834025974,1.0120899066647049,0.0
2024-12-19,AURORA_fold_rule_latest,-0.004340240472089646,0.0,-0.004340240472089646,1.0076971930904053,-0.004340240472089696
2024-12-20,AURORA_fold_rule_latest,-0.003562152135305517,0.0,-0.003562152135305517,1.004107622382297,-0.007886932010529812
2024-12-23,AURORA_fold_rule_latest,0.008465606925380701,0.0,0.008465606925380701,1.0126080028241642,0.0
2024-12-24,AURORA_fold_rule_latest,0.0007674621688200269,0.0,0.0007674621688200269,1.0133851411581762,0.0
2024-12-25,AURORA_fold_rule_latest,0.0014413031525389323,0.0,0.0014413031525389323,1.0148457363568635,0.0
2024-12-26,AURORA_fold_rule_latest,0.00013983163255128038,0.0,0.00013983163255128038,1.0149876438929661,0.0
2024-12-27,AURORA_fold_rule_latest,0.001107141249414029,0.0,0.001107141249414029,1.0161113785811657,0.0
2024-12-30,AURORA_fold_rule_latest,-0.0019616924185102097,0.0,-0.0019616924185102097,1.014118080593441,-0.001961692418510186
2024-12-31,AURORA_fold_rule_latest,-0.002256514250539408,2.318830643956754e-05,-0.0022797025569789757,1.0118061930120337,-0.004236922900266671
2025-01-02,AURORA_fold_rule_latest,-0.004903102955156594,0.0,-0.004903102955156594,1.0068452030770305,-0.009119251786230298
2025-01-03,AURORA_fold_rule_latest,0.0031125031729837245,0.0,0.0031125031729837245,1.0099790119663112,-0.006035132313366387
2025-01-06,AURORA_fold_rule_latest,0.01135717436026371,0.0,0.01135717436026371,1.0214495197054194,0.0
2025-01-07,AURORA_fold_rule_latest,0.0045856182210811955,0.0,0.0045856182210811955,1.0261334972348952,0.0
2025-01-08,AURORA_fold_rule_latest,-0.005119594596206728,0.0,-0.005119594596206728,1.0208801097274647,-0.005119594596206811
2025-01-09,AURORA_fold_rule_latest,-0.004985877623376012,0.0,-0.004985877623376012,1.0157901264322249,-0.010079946547444818
2025-01-10,AURORA_fold_rule_latest,-0.00043015470436810543,0.0,-0.00043015470436810543,1.0153531795306894,-0.010505765315385718
2025-01-13,AURORA_fold_rule_latest,-0.009474018493825634,0.0,-0.009474018493825634,1.005733704730051,-0.01988025199432164
2025-01-14,AURORA_fold_rule_latest,0.0024680377457392062,0.0,0.0024680377457392062,1.0082158934754868,-0.01746127946089926
2025-01-15,AURORA_fold_rule_latest,-0.0029126224707001825,0.0,-0.0029126224707001825,1.005279341208833,-0.02032304381667449
2025-01-16,AURORA_fold_rule_latest,0.007659098993893723,0.0,0.007659098993893723,1.0129788751996678,-0.012819601027229899
2025-01-17,AURORA_fold_rule_latest,0.0016813252996727057,0.0,0.0016813252996727057,1.014682022210575,-0.011159829647095942
2025-01-20,AURORA_fold_rule_latest,0.0040500888598058804,0.0,0.0040500888598058804,1.0187915745649754,-0.007154939089021095
2025-01-21,AURORA_fold_rule_latest,0.0007123017547615846,0.0,0.0007123017547615846,1.0195172615912744,-0.0064477338099276915
2025-01-22,AURORA_fold_rule_latest,0.005098919503043299,8.460784871753724e-06,0.005090458718171546,1.024707072123868,-0.0013900970145414027
2025-02-03,AURORA_fold_rule_latest,-0.017336264999678164,0.0,-0.017336264999678164,1.0069424787744843,-0.018702262924000346
2025-02-04,AURORA_fold_rule_latest,0.0014668459756238448,0.0,0.0014668459756238448,1.0084195082971592,-0.017262850287481646
2025-02-05,AURORA_fold_rule_latest,0.005960031098325685,0.0,0.005960031098325685,1.0144297199267684,-0.011405706313715291
2025-02-06,AURORA_fold_rule_latest,0.0017319142195003684,0.0,0.0017319142195003684,1.0161866251833935,-0.009693545799162928
2025-02-07,AURORA_fold_rule_latest,0.0026004782106786575,0.0,0.0026004782106786575,1.018829196360166,-0.007118275443119382
2025-02-10,AURORA_fold_rule_latest,-0.004177966622340813,0.0,-0.004177966622340813,1.0145725619839068,-0.011266502148250201
2025-02-11,AURORA_fold_rule_latest,0.002177391881149308,0.0,0.002177391881149308,1.0167816840432076,-0.009113641857407262
2025-02-12,AURORA_fold_rule_latest,-0.0008068033680732289,0.0,-0.0008068033680732289,1.0159613411559263,-0.009913092308534543
2025-02-13,AURORA_fold_rule_latest,-0.0005946779888199263,0.0,-0.0005946779888199263,1.015357171308849,-0.010501875199557476
