date,strategy_name,optimization_status,risk_aversion,expected_class,p_bearish,p_bullish,normalized_entropy,confidence_score,ordinal_variance,risk_aversion_mode
2024-11-27,MC_20D_ONLY_DYNAMIC,optimized,36.39514140792437,2.1366424811304103,0.25786223723864343,0.41970461428082095,0.8495158665260601,0.15048413347393985,0.9939338269524924,dynamic
2024-11-28,MC_20D_ONLY_DYNAMIC,optimized,37.84612650698415,2.229294928377986,0.2703971581217286,0.48826256700927095,0.8975273337819831,0.10247266621801687,1.2154993280026494,dynamic
2024-11-29,MC_20D_ONLY_DYNAMIC,optimized,37.849260140405995,2.1486562366211044,0.2904019831416074,0.461577728628624,0.881648819102954,0.118351180897046,1.1694236945974064,dynamic
2024-12-02,MC_20D_ONLY_DYNAMIC,optimized,38.49216185515698,2.1156420284551727,0.2997977684696821,0.4438756356978999,0.8998482594305337,0.1001517405694663,1.2217981820972934,dynamic
2024-12-03,MC_20D_ONLY_DYNAMIC,optimized,37.151775349523916,2.008810263867695,0.29814845313673854,0.3715763637912616,0.8475522514715658,0.15244774852843423,1.006046663209096,dynamic
2024-12-04,MC_20D_ONLY_DYNAMIC,optimized,36.75629940503396,1.9549852947087285,0.30227815040317263,0.33198181918576125,0.82842945587882,0.17157054412118,0.9355399814048115,dynamic
2024-12-05,MC_20D_ONLY_DYNAMIC,optimized,36.91787429224081,1.9482275616410936,0.3009861017765898,0.3218597958321258,0.8359260902683605,0.1640739097316395,0.9425132608811704,dynamic
2024-12-06,MC_20D_ONLY_DYNAMIC,optimized,36.79628424216891,1.9651337496767558,0.3120082302935219,0.33170513428721843,0.8222447854519388,0.1777552145480612,0.8955696744869086,dynamic
2024-12-09,MC_20D_ONLY_DYNAMIC,optimized,36.91272823132986,1.9550994277196165,0.32772465713244303,0.317952825032749,0.8143294035472399,0.18567059645276007,0.8552393428761365,dynamic
2024-12-10,MC_20D_ONLY_DYNAMIC,optimized,36.46960126879299,2.001720713275477,0.30685501987742064,0.3299433281268835,0.8133000348497833,0.1866999651502167,0.8423610844494025,dynamic
2024-12-11,MC_20D_ONLY_DYNAMIC,optimized,35.68626639462024,1.9917776602261967,0.2928370885209341,0.3126029913363242,0.7931809849680623,0.20681901503193767,0.7846423584614537,dynamic
2024-12-12,MC_20D_ONLY_DYNAMIC,optimized,35.85999825752188,2.0137426884084433,0.2797248767213863,0.32480772001006253,0.8106200289237662,0.18937997107623383,0.8294967022043824,dynamic
2024-12-13,MC_20D_ONLY_DYNAMIC,optimized,35.478957496422126,1.9901711146466055,0.277892164890393,0.31478845183937826,0.7968445679445706,0.2031554320554294,0.808289458109154,dynamic
2024-12-16,MC_20D_ONLY_DYNAMIC,optimized,35.4991378635262,1.9893826402941197,0.2900846937699919,0.30666998199533424,0.7878977595250546,0.2121022404749454,0.7684273948402782,dynamic
2024-12-17,MC_20D_ONLY_DYNAMIC,optimized,35.46195517455382,1.9863389421094193,0.2850943098406542,0.3026683469625646,0.7904027591096294,0.20959724089037057,0.7729008758659175,dynamic
2024-12-18,MC_20D_ONLY_DYNAMIC,optimized,34.482005393750896,2.00625488424462,0.2658202731660459,0.30873659005747367,0.7666239972171992,0.2333760027828008,0.729918340189136,dynamic
2024-12-19,MC_20D_ONLY_DYNAMIC,optimized,35.60500092729206,2.0624173317657704,0.2782155090770472,0.38297535455751497,0.8016276298300447,0.19837237016995535,0.8679473418207744,dynamic
2024-12-20,MC_20D_ONLY_DYNAMIC,optimized,36.21924061195094,2.0491205557482557,0.2752360660311144,0.3892660719569454,0.828580771653146,0.17141922834685397,0.9702238503416982,dynamic
2024-12-23,MC_20D_ONLY_DYNAMIC,optimized,35.06359382439219,2.134796005696509,0.24475828281575285,0.4267146904494732,0.8067371267230854,0.1932628732769146,0.9151617783820747,dynamic
2024-12-24,MC_20D_ONLY_DYNAMIC,optimized,36.32600324722291,2.064179219364224,0.2838831079291456,0.4018322178109714,0.8259336435456,0.17406635645440005,0.9622406903969942,dynamic
2024-12-25,MC_20D_ONLY_DYNAMIC,optimized,36.19917649599304,2.0382798406640408,0.27957656155044636,0.3616890142807548,0.8243058105993647,0.1756941894006353,0.9021614034317569,dynamic
2024-12-26,MC_20D_ONLY_DYNAMIC,optimized,35.40962729363006,2.010695428486452,0.2802014439567658,0.3413054529956594,0.7922239365797898,0.20777606342021016,0.8236735561190045,dynamic
2024-12-27,MC_20D_ONLY_DYNAMIC,optimized,35.20958625174587,2.0083974733745324,0.28319668727315506,0.33262665517465756,0.7818261002513107,0.21817389974868928,0.78586094829849,dynamic
2024-12-30,MC_20D_ONLY_DYNAMIC,optimized,36.068208400073786,1.9970909185590515,0.3040689763105819,0.34799833331001484,0.7994731549544859,0.2005268450455141,0.850438232626523,dynamic
2024-12-31,MC_20D_ONLY_DYNAMIC,optimized,36.02855311964726,2.0203541963359375,0.2976375677916334,0.3583155197432228,0.8030320705525839,0.19696792944741615,0.8558716086336222,dynamic
2025-01-02,MC_20D_ONLY_DYNAMIC,optimized,35.64007767103084,2.064885529088276,0.2853692905112692,0.39401118825688564,0.7973076744322182,0.20269232556778183,0.8772460676249132,dynamic
2025-01-03,MC_20D_ONLY_DYNAMIC,optimized,34.05626130966308,2.189915882044045,0.23431990133253344,0.4562868134336385,0.7747945313204964,0.22520546867950364,0.8438569719627091,dynamic
2025-01-06,MC_20D_ONLY_DYNAMIC,optimized,34.25901154030691,2.151362803561964,0.2444127217350338,0.42892758794450014,0.7748302842242492,0.22516971577575084,0.8248084989417688,dynamic
2025-01-07,MC_20D_ONLY_DYNAMIC,optimized,35.66895108349957,2.016059444031988,0.27385956213408186,0.34860996649967746,0.8076703936327174,0.19232960636728258,0.8723033334509669,dynamic
2025-01-08,MC_20D_ONLY_DYNAMIC,optimized,34.50247148778068,2.056898542287109,0.25589286896606334,0.3525822763054813,0.7753845643383765,0.22461543566162345,0.7761413964749453,dynamic
2025-01-09,MC_20D_ONLY_DYNAMIC,optimized,34.214889046587295,2.0673952163388196,0.24166810916731482,0.36030632989095457,0.77526107452964,0.22473892547036,0.7956234231758765,dynamic
2025-01-10,MC_20D_ONLY_DYNAMIC,optimized,34.31055046643027,2.087055987208425,0.23584187445017044,0.37380826342814033,0.7837485190970747,0.21625148090292534,0.8211654547932792,dynamic
2025-01-13,MC_20D_ONLY_DYNAMIC,optimized,34.71769053483696,2.125383700210787,0.23733321305734206,0.41407397075914293,0.7988410509476048,0.20115894905239518,0.889488798544865,dynamic
2025-01-14,MC_20D_ONLY_DYNAMIC,optimized,35.2684556206964,2.1334377079093616,0.2274144546011358,0.4376682114138907,0.8288066611469475,0.17119333885305255,1.0633754786100535,dynamic
2025-01-15,MC_20D_ONLY_DYNAMIC,optimized,36.05066597120689,2.162599884170408,0.23381288282790058,0.4559768386579749,0.854976332585955,0.14502366741404504,1.130827447547743,dynamic
2025-01-16,MC_20D_ONLY_DYNAMIC,optimized,36.500218834395724,2.2013044246484146,0.24795805306390656,0.47662858004519765,0.8616423109247037,0.13835768907529633,1.1062820982811985,dynamic
2025-01-17,MC_20D_ONLY_DYNAMIC,optimized,34.61800536770116,2.211697400179091,0.24218815598143498,0.4958570549201705,0.7909696899228985,0.2090303100771015,0.9525838187297104,dynamic
2025-01-20,MC_20D_ONLY_DYNAMIC,optimized,35.245428269513866,2.09521085446916,0.2569933788911452,0.4061064151070247,0.8042224276676384,0.1957775723323616,0.9044309345448935,dynamic
2025-01-21,MC_20D_ONLY_DYNAMIC,optimized,36.30251724065125,2.003920567437931,0.3075515059350374,0.3592787834074032,0.8060594848780199,0.19394051512198007,0.878010597207961,dynamic
2025-01-22,MC_20D_ONLY_DYNAMIC,optimized,35.776203264274855,2.0585329143529054,0.2712544487347137,0.36472110400421887,0.8140445715832232,0.1859554284167768,0.8664884060296103,dynamic
