date,policy_name,gross_return,transaction_cost,net_return,equity,drawdown
2024-11-27,constant_lambda_no_probability_lambda_34,-0.006229540154196345,0.0,-0.006229540154196345,0.9937704598458037,0.0
2024-11-28,constant_lambda_no_probability_lambda_34,-0.0010119626772413487,0.0,-0.0010119626772413487,0.9927648012306948,-0.0010119626772413515
2024-11-29,constant_lambda_no_probability_lambda_34,0.0007179519467990838,8.745514055699123e-06,0.0007092064327433846,0.9934688764139288,-0.0003034739349383475
2024-12-02,constant_lambda_no_probability_lambda_34,0.009316829550446399,0.0,0.009316829550446399,1.002724856599151,0.0
2024-12-03,constant_lambda_no_probability_lambda_34,0.003952627758951877,0.0,0.003952627758951877,1.0066882547019358,0.0
2024-12-04,constant_lambda_no_probability_lambda_34,0.003292062226919196,0.0,0.003292062226919196,1.0100023350795233,0.0
2024-12-05,constant_lambda_no_probability_lambda_34,0.0013697473523342902,0.0,0.0013697473523342902,1.0113857831038497,0.0
2024-12-06,constant_lambda_no_probability_lambda_34,-0.001147874814275042,0.0,-0.001147874814275042,1.010224838835909,-0.0011478748142750295
2024-12-09,constant_lambda_no_probability_lambda_34,0.0002734054273972539,0.0,0.0002734054273972539,1.010501039789738,-0.0008747832220822316
2024-12-10,constant_lambda_no_probability_lambda_34,-0.0022897401572172854,0.0,-0.0022897401572172854,1.0081872549800217,-0.0031625203530269985
2024-12-11,constant_lambda_no_probability_lambda_34,-0.0035718582335228246,0.0,-0.0035718582335228246,1.0045861530323885,-0.006723082512188117
2024-12-12,constant_lambda_no_probability_lambda_34,0.004323282487836875,0.0,0.004323282487836875,1.008929262755317,-0.002428865809240399
2024-12-13,constant_lambda_no_probability_lambda_34,0.0004580132926208576,0.0,0.0004580132926208576,1.009391365768973,-0.0019719649694461827
2024-12-16,constant_lambda_no_probability_lambda_34,0.0004077928874122586,0.0,0.0004077928874122586,1.0098029883885489,-0.0015649762353228125
2024-12-17,constant_lambda_no_probability_lambda_34,0.001972099133057119,0.0,0.001972099133057119,1.0117944199865085,0.0
2024-12-18,constant_lambda_no_probability_lambda_34,0.00029213423864048486,0.0,0.00029213423864048486,1.0120899997790518,0.0
2024-12-19,constant_lambda_no_probability_lambda_34,-0.004340283210773109,0.0,-0.004340283210773109,1.0076972425452195,-0.004340283210772955
2024-12-20,constant_lambda_no_probability_lambda_34,-0.003562134215189758,0.0,-0.003562134215189758,1.0041076897189969,-0.007886956754634022
2024-12-23,constant_lambda_no_probability_lambda_34,0.008465678180599028,0.0,0.008465678180599028,1.0126081422788227,0.0
2024-12-24,constant_lambda_no_probability_lambda_34,0.0007674573128310781,0.0,0.0007674573128310781,1.013385275802647,0.0
2024-12-25,constant_lambda_no_probability_lambda_34,0.0014413101813302994,0.0,0.0014413101813302994,1.0148458783182714,0.0
2024-12-26,constant_lambda_no_probability_lambda_34,0.00013981449866352563,0.0,0.00013981449866352563,1.0149877684859692,0.0
2024-12-27,constant_lambda_no_probability_lambda_34,0.0011071532899382766,0.0,0.0011071532899382766,1.0161115155330955,0.0
2024-12-30,constant_lambda_no_probability_lambda_34,-0.0019617112176051436,0.0,-0.0019617112176051436,1.0141181981747365,-0.0019617112176051332
